Gaia19fdr
#Date,JD(TCB),averagemag
2014-09-20 20:04:34,2456921.33650,untrusted
2014-10-23 13:03:46,2456954.04428,untrusted
2014-11-28 22:49:35,2456990.45110,19.25
2014-11-29 00:36:10,2456990.52512,untrusted
2015-03-07 00:04:24,2457088.50306,19.33
2015-03-07 01:50:58,2457088.57706,19.32
2015-03-07 06:04:37,2457088.75321,19.31
2015-03-07 07:51:11,2457088.82721,19.31
2015-03-07 12:04:50,2457089.00336,19.34
2015-03-07 13:51:24,2457089.07736,19.33
2015-03-13 13:55:55,2457095.08050,19.33
2015-03-13 18:09:34,2457095.25664,19.32
2015-03-13 19:56:08,2457095.33065,19.34
2015-03-14 00:09:47,2457095.50679,19.31
2015-04-22 05:31:42,2457134.73035,null
2015-04-22 07:18:26,2457134.80447,null
2015-05-31 18:32:20,2457174.27245,19.31
2015-05-31 22:46:24,2457174.44889,null
2015-06-01 00:32:33,2457174.52260,19.28
2015-06-01 04:46:12,2457174.69875,19.36
2015-06-08 16:51:45,2457182.20260,null
2015-06-08 18:38:30,2457182.27674,null
2015-06-08 22:51:39,2457182.45253,null
2015-06-09 00:38:23,2457182.52666,null
2015-09-14 18:48:45,2457280.28385,19.29
2015-09-14 20:35:19,2457280.35786,19.28
2015-09-30 00:57:02,2457295.53961,19.34
2015-09-30 02:43:37,2457295.61362,19.30
2015-11-03 06:28:48,2457329.77000,19.34
2016-03-12 13:06:04,2457460.04588,19.39
2016-03-12 14:52:38,2457460.11988,19.41
2016-03-30 13:09:37,2457478.04834,19.36
2016-09-22 19:53:59,2457654.32916,19.39
2016-09-22 21:40:34,2457654.40317,19.41
2016-10-14 07:56:06,2457675.83063,19.39
2016-11-12 19:40:10,2457705.31956,19.42
2017-03-21 21:34:59,2457834.39929,19.45
2017-03-21 23:21:59,2457834.47360,null
2017-04-14 21:28:08,2457858.39454,null
2017-04-14 23:14:28,2457858.46838,19.39
2017-05-12 21:10:13,2457886.38209,19.31
2017-05-12 22:56:46,2457886.45609,19.45
2017-10-02 18:11:19,2458029.25786,19.41
2017-10-02 22:25:01,2458029.43404,19.37
2017-11-22 22:13:13,2458080.42584,untrusted
2017-11-22 23:59:47,2458080.49985,untrusted
2018-04-30 00:09:12,2458238.50639,untrusted
2018-05-23 04:16:44,2458261.67829,19.32
2018-05-23 06:03:18,2458261.75229,19.31
2018-10-13 05:35:23,2458404.73291,null
2018-10-13 07:21:35,2458404.80666,19.28
2018-11-12 23:16:37,2458435.46987,null
2018-11-13 01:03:23,2458435.54402,null
2018-12-02 07:08:36,2458454.79764,19.27
2018-12-02 11:22:17,2458454.97381,19.30
2019-04-11 17:51:31,2458585.24411,19.14
2019-04-11 19:38:04,2458585.31810,19.11
2019-05-15 07:04:07,2458618.79453,19.09
2019-05-15 11:17:46,2458618.97067,19.07
2019-06-01 17:20:59,2458636.22291,19.05
2019-06-01 19:07:33,2458636.29691,19.08
2019-10-15 21:31:20,2458772.39676,18.98
2019-11-17 21:23:00,2458805.39097,19.00
2019-11-17 23:09:35,2458805.46499,18.88
2019-12-03 23:36:59,2458821.48402,null
2019-12-04 03:50:36,2458821.66014,18.97
2020-03-06 04:54:50,2458914.70475,18.97
2020-03-06 10:55:03,2458914.95490,18.99
2020-03-06 12:41:37,2458915.02890,untrusted
2020-03-06 16:55:16,2458915.20505,18.98
2020-03-06 18:41:49,2458915.27904,19.00
2020-03-06 22:55:51,2458915.45545,null
2020-03-07 00:42:02,2458915.52919,18.98
2020-03-10 12:45:09,2458919.03135,null
2020-03-10 16:58:51,2458919.20753,19.03
2020-03-10 18:45:24,2458919.28153,untrusted
2020-03-10 22:59:03,2458919.45767,19.06
2020-03-11 00:45:37,2458919.53168,19.00
2020-03-11 04:59:16,2458919.70782,18.99
2020-04-20 12:52:58,2458960.03678,untrusted
2020-04-20 14:39:31,2458960.11078,19.01
2020-05-28 20:32:18,2458998.35576,19.08
2020-05-28 22:18:51,2458998.42976,19.06
2020-05-29 02:32:30,2458998.60590,19.02
2020-06-08 02:42:48,2459008.61306,19.05
2020-06-08 04:29:21,2459008.68705,19.09
2020-06-08 08:43:00,2459008.86319,19.09
2020-06-08 10:29:34,2459008.93720,19.10
2020-10-13 17:34:00,2459136.23194,19.11
2020-10-13 19:20:35,2459136.30596,19.05
2020-11-13 23:14:25,2459167.46834,19.12
2020-11-14 01:01:00,2459167.54236,19.14
2020-12-02 13:07:12,2459186.04667,19.11
2020-12-02 17:20:53,2459186.22284,19.08
2021-04-12 05:50:18,2459316.74326,19.02
2021-04-12 07:36:52,2459316.81727,19.01
2021-05-16 07:01:43,2459350.79286,untrusted
2021-06-01 23:19:08,2459367.47162,18.97
2021-06-02 01:05:41,2459367.54561,19.02

