Gaia19crv
#Date,JD,averagemag.
2015-01-14 20:09:51,2457037.340,null
2015-02-10 00:06:41,2457063.505,null
2015-02-10 01:53:26,2457063.579,null
2015-05-20 04:54:12,2457162.704,null
2015-05-20 09:07:57,2457162.881,null
2015-05-20 10:54:42,2457162.955,null
2015-05-20 15:08:28,2457163.131,null
2015-05-20 16:54:38,2457163.205,null
2015-05-20 21:08:24,2457163.381,null
2015-05-24 09:12:05,2457166.883,null
2015-05-24 10:58:15,2457166.957,null
2015-05-24 15:12:01,2457167.133,null
2015-05-24 16:58:46,2457167.207,null
2015-05-24 21:12:32,2457167.384,null
2015-05-24 22:58:42,2457167.457,null
2015-07-08 09:58:47,2457211.916,null
2015-08-06 20:00:48,2457241.334,null
2015-09-02 15:46:01,2457268.157,null
2015-09-02 19:59:47,2457268.333,null
2015-12-30 01:44:31,2457386.573,null
2015-12-30 03:31:15,2457386.647,null
2016-01-29 01:19:25,2457416.555,null
2016-02-20 08:57:27,2457438.873,null
2016-05-27 17:49:16,2457536.243,null
2016-05-27 22:03:02,2457536.419,null
2016-05-27 23:49:12,2457536.493,null
2016-06-08 10:10:32,2457547.924,null
2016-06-08 11:57:18,2457547.998,null
2016-07-18 17:07:41,2457588.214,null
2016-07-18 21:21:27,2457588.390,null
2016-08-21 09:03:27,2457621.877,null
2016-08-21 10:50:12,2457621.952,null
2016-09-12 21:11:21,2457644.383,null
2016-09-12 22:57:31,2457644.457,null
2016-11-20 03:16:52,2457712.637,null
2016-11-20 09:17:21,2457712.887,null
2016-11-20 11:03:31,2457712.961,null
2016-11-20 15:17:15,2457713.137,null
2016-11-20 17:04:00,2457713.211,null
2016-11-20 21:17:45,2457713.387,null
2016-11-20 23:03:54,2457713.461,null
2016-11-21 03:17:39,2457713.637,null
2016-11-21 05:04:23,2457713.711,null
2016-11-21 09:18:08,2457713.888,null
2016-11-21 11:04:18,2457713.961,null
2016-11-21 17:04:47,2457714.212,null
2016-11-25 17:07:53,2457718.214,null
2016-11-25 23:08:22,2457718.464,null
2016-11-26 03:22:06,2457718.640,null
2016-11-26 05:08:51,2457718.714,null
2016-11-26 09:22:00,2457718.890,null
2016-11-26 11:08:45,2457718.964,null
2016-11-26 15:22:29,2457719.141,null
2016-11-26 17:09:14,2457719.215,null
2016-11-26 21:22:23,2457719.391,null
2016-11-26 23:09:08,2457719.465,null
2016-11-27 03:22:52,2457719.641,null
2017-01-09 02:52:50,2457762.620,null
2017-02-10 21:37:04,2457795.401,null
2017-02-10 23:23:13,2457795.474,null
2017-03-01 09:36:01,2457813.900,null
2017-03-01 11:22:11,2457813.974,null
2017-06-23 06:31:17,2457927.772,null
2017-06-23 08:17:27,2457927.845,null
2017-07-30 05:54:22,2457964.746,null
2017-07-30 07:40:33,2457964.820,null
2017-09-07 11:32:25,2458003.981,null
2017-09-07 13:19:11,2458004.055,null
2017-09-07 17:32:57,2458004.231,null
2017-09-07 19:19:07,2458004.305,null
2017-09-23 01:30:16,2458019.563,null
2017-09-23 05:44:02,2458019.739,null
2017-09-23 07:30:47,2458019.813,null
2017-09-23 11:44:33,2458019.989,null
2017-11-28 05:46:14,2458085.740,null
2017-11-28 07:32:24,2458085.814,null
2017-12-15 23:53:29,2458103.495,null
2017-12-16 01:40:13,2458103.570,null
2018-01-19 23:22:52,2458138.474,null
2018-03-11 04:35:48,2458188.692,null
2018-03-11 06:22:33,2458188.766,null
2018-06-16 21:14:04,2458286.385,null
2018-07-08 01:29:22,2458307.562,null
2018-07-08 03:16:07,2458307.636,null
2018-08-10 20:51:43,2458341.369,null
2018-12-08 12:55:14,2458461.038,null
2018-12-08 14:41:24,2458461.112,null
2018-12-31 14:40:51,2458484.112,null
2019-01-30 18:30:03,2458514.271,null
2019-03-11 01:12:29,2458553.550,null
2019-03-11 05:26:14,2458553.727,null
2019-03-20 05:31:55,2458562.730,null
2019-03-20 07:18:40,2458562.805,null
2019-06-27 14:32:56,2458662.106,18.58
2019-06-27 16:19:31,2458662.180,18.59

