Gaia22bif
#Date,JD(TCB),averagemag
2014-09-09 23:10:15,2456910.46545,untrusted
2014-09-10 00:56:49,2456910.53946,untrusted
2014-10-13 20:18:03,2456944.34587,untrusted
2014-10-13 22:04:37,2456944.41987,untrusted
2015-02-25 17:06:55,2457079.21314,15.91
2015-03-26 04:53:19,2457107.70369,15.97
2015-04-17 16:55:23,2457130.20513,15.73
2015-04-17 21:09:28,2457130.38157,null
2015-09-02 11:37:59,2457267.98471,16.13
2015-10-03 21:23:50,2457299.39155,16.01
2015-10-03 23:10:24,2457299.46556,15.99
2015-10-23 09:23:27,2457318.89128,16.00
2015-10-23 11:10:00,2457318.96528,16.01
2016-03-07 04:31:12,2457454.68833,15.83
2016-04-09 22:07:08,2457488.42162,15.86
2016-04-25 16:16:06,2457504.17785,15.90
2016-04-25 18:02:41,2457504.25186,15.92
2016-04-25 22:16:22,2457504.42803,15.96
2016-09-12 11:00:48,2457643.95889,null
2016-10-18 12:06:06,2457680.00424,null
2016-10-18 16:19:50,2457680.18044,null
2016-10-30 16:25:33,2457692.18441,null
2016-10-30 18:12:17,2457692.25853,null
2017-01-30 01:54:13,2457783.57932,null
2017-01-30 06:07:59,2457783.75554,null
2017-02-09 01:38:35,2457793.56846,null
2017-02-09 03:24:45,2457793.64219,null
2017-03-17 19:05:07,2457830.29522,null
2017-08-04 01:59:43,2457969.58314,null
2017-08-04 03:46:28,2457969.65727,null
2017-08-18 15:52:47,2457984.16166,null
2017-08-18 20:06:31,2457984.33786,null
2018-02-06 16:19:02,2458156.17988,15.87
2018-02-06 20:32:44,2458156.35606,15.88
2018-03-28 10:03:02,2458205.91877,15.87
2018-08-12 21:04:21,2458343.37802,15.82
2018-08-12 22:50:55,2458343.45203,15.82
2018-09-03 21:02:56,2458365.37704,15.85
2018-09-03 22:49:29,2458365.45103,15.85
2018-10-03 20:39:27,2458395.36073,15.79
2018-10-03 22:26:01,2458395.43473,15.80
2019-02-15 23:26:08,2458530.47648,15.93
2019-02-16 03:39:50,2458530.65266,15.96
2019-03-11 15:36:46,2458554.15053,15.94
2019-03-11 17:23:21,2458554.22455,15.87
2019-04-07 21:27:55,2458581.39439,null
2019-04-07 23:14:41,2458581.46853,null
2019-08-21 02:11:40,2458716.59144,15.86
2019-08-21 03:58:14,2458716.66544,15.82
2019-09-14 21:01:27,2458741.37601,15.96
2019-09-14 22:48:00,2458741.45000,15.91
2019-10-12 04:01:10,2458768.66748,15.89
2019-10-12 05:47:44,2458768.74148,15.86
2020-02-19 13:30:59,2458899.06318,15.88
2020-02-19 15:17:34,2458899.13720,15.86
2020-03-17 02:36:49,2458925.60890,15.87
2020-04-10 15:33:51,2458950.14851,15.80
2020-04-10 17:20:26,2458950.22252,15.79
2020-08-13 09:03:01,2459074.87709,untrusted
2020-08-13 10:49:34,2459074.95109,15.77
2020-09-04 21:00:32,2459097.37537,15.83
2020-10-04 08:38:10,2459126.85984,untrusted
2020-10-04 10:24:44,2459126.93384,15.93
2021-02-16 09:38:28,2459261.90171,15.94
2021-02-16 11:25:02,2459261.97572,15.94
2021-03-12 11:21:05,2459285.97297,15.94
2021-04-08 09:26:36,2459312.89347,15.90
2021-04-08 11:13:11,2459312.96749,15.89
2021-08-23 16:10:33,2459450.17399,16.00
2021-09-19 23:41:50,2459477.48738,15.94
2021-10-14 15:45:21,2459502.15649,15.96
2022-02-26 10:48:03,2459636.95003,15.52
2022-02-26 12:34:37,2459637.02404,15.53
2022-03-27 10:33:29,2459665.93992,15.01
2022-03-27 12:20:03,2459666.01392,15.05

