Gaia20aoq
#Date,JD(TCB),averagemag
2014-08-13 04:40:52,2456882.69505,17.90
2014-08-13 06:27:25,2456882.76904,17.90
2014-08-13 10:41:05,2456882.94520,17.88
2014-08-13 12:27:39,2456883.01920,17.91
2014-08-13 16:41:18,2456883.19535,17.89
2014-08-13 18:27:52,2456883.26935,17.90
2014-08-13 22:41:31,2456883.44550,17.88
2014-08-14 00:28:05,2456883.51950,17.88
2014-11-08 13:18:12,2456970.05431,17.90
2014-11-08 17:31:53,2456970.23047,untrusted
2014-11-23 17:37:22,2456985.23428,untrusted
2014-11-23 19:23:54,2456985.30826,null
2014-12-29 10:53:22,2457020.95373,untrusted
2014-12-29 12:39:56,2457021.02773,untrusted
2015-02-01 16:31:16,2457055.18838,17.87
2015-02-01 18:17:51,2457055.26240,17.91
2015-02-21 12:26:54,2457075.01868,17.90
2015-02-21 16:40:34,2457075.19484,untrusted
2015-02-21 18:27:09,2457075.26885,17.91
2015-04-23 22:35:15,2457136.44115,17.91
2015-04-24 04:35:29,2457136.69131,17.88
2015-04-24 06:22:03,2457136.76531,17.87
2015-05-12 00:31:18,2457154.52174,untrusted
2015-05-12 04:44:57,2457154.69788,untrusted
2015-05-12 06:31:31,2457154.77189,untrusted
2015-06-20 04:16:46,2457193.67831,null
2015-06-20 06:03:02,2457193.75211,17.90
2015-07-26 21:33:20,2457230.39815,null
2015-07-26 23:20:05,2457230.47228,null
2015-08-13 21:35:09,2457248.39941,null
2015-08-13 23:21:53,2457248.47353,null
2015-11-18 12:33:06,2457345.02299,17.91
2015-11-18 14:19:40,2457345.09699,17.90
2015-12-07 12:35:23,2457364.02457,null
2015-12-07 14:21:27,2457364.09823,17.89
2016-01-09 12:03:13,2457397.00223,17.90
2016-02-18 23:40:15,2457437.48628,17.90
2016-02-19 01:26:49,2457437.56029,17.89
2016-02-19 05:40:30,2457437.73646,17.90
2016-02-19 07:27:04,2457437.81046,17.89
2016-03-02 19:37:07,2457450.31744,17.92
2016-03-02 23:50:47,2457450.49360,17.88
2016-03-03 01:37:22,2457450.56762,untrusted
2016-03-03 05:51:02,2457450.74377,17.91
2016-03-03 07:37:36,2457450.81778,17.90
2016-03-03 11:51:17,2457450.99395,17.90
2016-05-04 11:45:27,2457512.98990,17.92
2016-05-04 13:32:01,2457513.06390,17.90
2016-05-27 23:48:49,2457536.49223,17.92
2016-05-28 01:35:23,2457536.56624,17.89
2016-08-09 06:14:56,2457609.76037,17.90
2016-08-09 10:28:36,2457609.93653,17.88
2016-08-22 22:34:24,2457623.44056,null
2016-08-23 00:20:33,2457623.51427,null
2016-11-27 19:37:06,2457720.31743,17.89
2016-12-20 07:33:06,2457742.81465,17.91
2016-12-20 09:19:41,2457742.88867,17.90
2017-01-19 13:13:38,2457773.05113,17.88
2017-01-19 15:00:13,2457773.12515,17.89
2017-05-16 02:17:52,2457889.59574,17.88
2017-05-16 04:04:26,2457889.66975,17.86
2017-06-12 15:57:59,2457917.16527,17.91
2017-07-12 07:53:20,2457946.82870,17.88
2017-07-12 09:39:54,2457946.90271,17.87
2017-08-23 18:46:16,2457989.28213,17.85
2017-08-23 20:32:50,2457989.35613,17.90
2017-08-24 00:46:30,2457989.53229,17.84
2017-09-01 12:52:09,2457998.03622,17.89
2017-09-01 14:38:43,2457998.11022,17.88
2017-09-01 18:52:23,2457998.28638,17.88
2017-09-01 20:38:57,2457998.36038,17.90
2017-10-21 00:53:32,2458047.53718,17.91
2017-10-21 05:07:13,2458047.71334,17.88
2017-10-21 06:53:47,2458047.78735,17.91
2017-10-21 11:07:28,2458047.96352,17.88
2017-10-26 23:12:18,2458053.46688,17.90
2017-10-27 00:58:54,2458053.54090,null
2017-10-27 05:12:32,2458053.71704,17.90
2017-10-27 06:59:07,2458053.79105,untrusted
2017-12-08 05:52:04,2458095.74449,17.89
2018-01-03 05:41:26,2458121.73711,17.90
2018-01-30 17:33:37,2458149.23168,null
2018-05-27 21:27:47,2458266.39429,null
2018-05-27 23:14:32,2458266.46843,null
2018-06-27 21:09:32,2458297.38162,17.91
2018-07-23 14:58:42,2458323.12410,17.85
2018-07-23 16:45:15,2458323.19809,17.90
2018-09-07 21:28:47,2458369.39499,17.90
2018-09-08 01:42:27,2458369.57115,17.89
2018-09-08 03:29:01,2458369.64515,17.92
2018-09-08 07:42:41,2458369.82131,17.88
2018-09-08 09:29:15,2458369.89531,untrusted
2018-09-08 13:42:55,2458370.07147,17.91
2018-09-08 15:29:29,2458370.14547,17.90
2018-09-08 19:43:09,2458370.32163,17.89
2018-09-08 21:29:43,2458370.39564,17.91
2018-09-09 01:43:22,2458370.57178,17.93
2018-09-09 03:29:56,2458370.64579,untrusted
2018-09-09 07:43:36,2458370.82194,17.93
2018-09-09 09:30:10,2458370.89595,17.89
2018-09-09 13:43:50,2458371.07211,17.88
2018-09-09 15:30:24,2458371.14611,untrusted
2018-09-09 19:44:03,2458371.32226,17.92
2018-09-09 21:30:37,2458371.39626,17.94
2018-09-10 01:44:17,2458371.57242,17.92
2018-09-10 03:30:51,2458371.64642,17.90
2018-09-10 09:31:05,2458371.89659,17.89
2018-10-30 06:02:04,2458421.75144,17.91
2018-10-30 07:48:38,2458421.82544,17.90
2018-11-10 06:09:11,2458432.75638,17.87
2018-11-10 07:55:59,2458432.83054,null
2018-12-18 23:13:15,2458471.46753,17.93
2019-01-17 16:56:06,2458501.20563,17.95
2019-01-17 18:42:41,2458501.27964,17.92
2019-02-10 18:44:35,2458525.28096,17.92
2019-02-10 22:58:16,2458525.45713,17.94
2019-02-11 00:44:50,2458525.53113,17.87
2019-04-14 10:55:13,2458587.95501,17.92
2019-04-14 16:55:54,2458588.20549,null
2019-04-14 18:42:01,2458588.27918,17.88
2019-04-14 22:55:41,2458588.45534,17.90
2019-04-15 00:42:15,2458588.52934,17.89
2019-04-15 04:55:55,2458588.70550,17.88
2019-04-15 06:42:29,2458588.77950,untrusted
2019-04-15 10:56:09,2458588.95566,17.87
2019-04-15 12:42:43,2458589.02966,17.88
2019-04-15 16:56:22,2458589.20581,17.88
2019-04-15 18:42:56,2458589.27981,17.89
2019-04-16 00:43:09,2458589.52997,17.89
2019-04-20 18:47:16,2458594.28282,17.93
2019-04-21 00:47:29,2458594.53297,17.93
2019-04-21 05:01:08,2458594.70912,17.90
2019-04-21 06:47:42,2458594.78313,17.90
2019-04-21 11:01:22,2458594.95928,17.90
2019-04-21 12:47:56,2458595.03329,17.84
2019-04-21 17:01:35,2458595.20943,17.89
2019-04-21 18:48:09,2458595.28344,17.89
2019-04-21 23:01:49,2458595.45959,17.87
2019-04-22 00:48:23,2458595.53360,17.89
2019-04-22 05:02:02,2458595.70975,17.89
2019-06-08 16:36:41,2458643.19214,17.91
2019-06-08 18:23:15,2458643.26615,17.88
2019-07-12 16:06:10,2458677.17095,17.88
2019-07-21 07:45:32,2458685.82329,17.93
2019-07-21 11:59:11,2458685.99943,17.89
2019-08-15 18:43:34,2458711.28025,null
2019-08-15 20:29:39,2458711.35392,17.90
2019-10-18 10:32:28,2458774.93921,17.91
2019-10-18 14:46:08,2458775.11537,17.92
2019-10-18 16:32:43,2458775.18939,17.90
2019-10-18 20:46:23,2458775.36554,17.89
2019-10-18 22:32:57,2458775.43955,untrusted
2019-10-19 02:46:43,2458775.61578,null
2019-10-19 04:33:12,2458775.68972,17.87
2019-10-19 08:46:53,2458775.86589,17.87
2019-10-19 10:33:27,2458775.93990,17.87
2019-10-19 14:47:08,2458776.11606,17.87
2019-10-26 08:54:17,2458782.87103,17.86
2019-10-26 10:40:52,2458782.94505,17.87
2019-10-26 14:54:32,2458783.12120,17.87
2019-10-26 16:41:07,2458783.19522,untrusted
2019-10-26 20:54:47,2458783.37138,17.89
2019-10-26 22:41:22,2458783.44539,17.91
2019-10-27 02:55:02,2458783.62155,17.88
2019-10-27 04:41:37,2458783.69557,17.86
2019-12-10 18:34:06,2458828.27368,17.90
2019-12-10 22:47:47,2458828.44985,17.88
2020-01-11 18:21:38,2458860.26502,17.83
2020-02-01 01:04:42,2458880.54493,17.62
2020-02-01 02:51:17,2458880.61895,17.61
2020-05-07 01:10:08,2458976.54870,17.88
2020-05-23 03:21:05,2458992.63964,17.90
2020-06-29 21:27:07,2459030.39383,17.91
2020-09-09 03:26:47,2459101.64360,17.91
2020-09-09 09:27:01,2459101.89376,17.88
2020-09-09 15:27:15,2459102.14392,17.87
2020-09-09 21:27:29,2459102.39409,17.90
2020-09-10 03:27:43,2459102.64425,17.86
2020-09-10 09:27:57,2459102.89441,untrusted
2020-10-30 13:46:13,2459153.07376,17.91
2020-10-30 17:59:54,2459153.24993,17.87
2020-11-11 00:06:51,2459164.50476,17.89
2020-11-11 01:53:26,2459164.57877,17.89
2020-12-19 11:12:02,2459202.96669,17.90
2021-01-18 12:40:47,2459233.02832,17.91
2021-02-11 10:57:17,2459256.95645,17.90
2021-02-11 12:43:51,2459257.03045,17.90
