Gaia16abk
#Date,JD(TCB),averagemag
2014-08-14 00:16:07,2456883.51119,null
2014-08-14 02:02:52,2456883.58532,null
2014-08-14 06:16:01,2456883.76112,null
2014-08-14 08:02:46,2456883.83525,null
2014-08-14 12:16:31,2456884.01147,null
2014-08-14 14:03:15,2456884.08559,null
2014-08-14 18:17:00,2456884.26181,null
2014-08-14 20:03:09,2456884.33552,null
2014-08-15 02:03:38,2456884.58586,null
2014-08-25 02:13:10,2456894.59248,null
2014-08-25 06:26:55,2456894.76869,null
2014-11-05 09:55:14,2456966.91336,null
2014-11-05 11:42:00,2456966.98750,null
2014-11-05 15:55:45,2456967.16372,null
2014-11-05 17:42:30,2456967.23785,null
2015-01-15 03:01:47,2457037.62624,null
2015-02-04 21:00:01,2457058.37501,null
2015-03-19 01:39:00,2457100.56875,null
2015-03-19 03:25:45,2457100.64288,null
2015-03-29 03:31:49,2457110.64709,null
2015-03-29 07:45:34,2457110.82331,null
2015-06-01 06:16:37,2457174.76154,null
2015-07-07 13:21:21,2457211.05649,null
2015-08-13 12:55:40,2457248.03866,null
2015-08-13 17:09:24,2457248.21486,null
2015-09-06 17:15:24,2457272.21903,null
2015-09-06 19:02:09,2457272.29316,null
2015-10-27 22:57:24,2457323.45653,null
2015-10-28 00:43:34,2457323.53025,null
2015-11-21 05:02:58,2457347.71039,null
2015-12-24 12:28:00,2457381.01944,null
2016-01-28 09:59:28,2457415.91630,17.03
2016-01-28 11:46:02,2457415.99030,17.00
2016-02-15 10:01:36,2457433.91778,17.18
2016-03-29 14:33:44,2457477.10676,19.06
2016-03-29 16:20:18,2457477.18076,19.05
2016-04-09 02:40:07,2457487.61119,19.38
2016-04-09 04:26:42,2457487.68521,19.36
2016-05-22 07:19:24,2457530.80514,20.41
2016-05-22 09:05:58,2457530.87914,20.33
2016-06-14 09:00:14,2457553.87516,null
2016-07-18 18:42:41,2457588.27964,null
2016-08-29 02:03:03,2457629.58545,null
2016-08-29 06:16:47,2457629.76166,null
2016-08-29 08:02:57,2457629.83538,null
2016-09-19 06:26:41,2457650.76853,null
2016-09-19 08:13:26,2457650.84266,null
2016-11-08 06:08:16,2457700.75574,null
2016-11-08 07:55:01,2457700.82987,null
2017-01-03 17:49:54,2457757.24299,null
2017-02-09 12:19:43,2457794.01369,null
2017-02-09 14:05:53,2457794.08742,null
2017-02-24 20:11:00,2457809.34097,null
2017-02-25 00:24:11,2457809.51679,null
2017-04-09 16:52:03,2457853.20281,null
2017-04-09 18:38:13,2457853.27654,null
2017-04-21 16:58:13,2457865.20709,null
2017-04-21 18:44:22,2457865.28081,null
2017-06-02 15:45:39,2457907.15670,null
2017-06-02 17:32:24,2457907.23083,null
2017-06-28 21:34:05,2457933.39867,null
2017-06-28 23:20:50,2457933.47280,null
2017-07-30 21:13:46,2457965.38456,null
2017-07-30 23:00:30,2457965.45868,null
2017-09-14 22:35:51,2458011.44156,null
2017-09-15 02:49:36,2458011.61778,null
2017-09-15 04:36:21,2458011.69191,null
2017-09-15 08:50:06,2458011.86813,null
2017-10-04 03:01:14,2458030.62586,null
2017-10-04 04:47:59,2458030.69999,null
2017-10-04 09:01:44,2458030.87620,null
2017-10-04 10:47:54,2458030.94993,null
2017-11-20 08:41:38,2458077.86225,null
2017-12-19 02:30:54,2458106.60479,null
2017-12-19 04:17:39,2458106.67892,null
2018-01-14 14:19:12,2458133.09667,null
2018-01-14 16:05:57,2458133.17080,null
2018-03-07 09:08:51,2458184.88115,null
2018-03-07 13:22:36,2458185.05736,null
2018-04-20 13:34:42,2458229.06576,null
2018-05-04 23:53:33,2458243.49552,null
2018-05-05 01:40:18,2458243.56965,null
2018-06-14 04:50:35,2458283.70179,null
2018-06-14 06:36:44,2458283.77551,null
2018-07-13 18:19:41,2458313.26367,null
2018-08-12 10:23:40,2458342.93310,null
2018-08-12 12:09:50,2458343.00683,null
2018-09-30 22:02:04,2458392.41810,null
2018-09-30 23:48:49,2458392.49223,null
2018-10-01 04:02:34,2458392.66845,null
2018-10-01 05:48:44,2458392.74218,null
2018-10-20 10:14:00,2458411.92639,null
2018-10-20 12:00:10,2458412.00012,null
2018-12-01 23:38:36,2458454.48514,null
2019-01-01 21:31:23,2458485.39679,null
2019-01-01 23:18:09,2458485.47094,null
2019-01-25 11:11:11,2458508.96610,null
2019-03-07 02:12:01,2458549.59168,null
2019-03-07 03:58:46,2458549.66581,null
2019-03-18 04:05:17,2458560.67034,null
2019-03-18 08:19:03,2458560.84656,null
2019-05-01 12:46:31,2458605.03230,null
2019-05-01 14:33:16,2458605.10644,null
2019-05-18 12:49:12,2458622.03417,null
2019-05-18 14:35:56,2458622.10829,null
2019-06-25 23:56:31,2458660.49758,null
2019-07-29 07:45:07,2458693.82300,null
2019-07-29 09:31:52,2458693.89713,null
2019-09-10 00:04:31,2458736.50314,null
2019-09-10 04:17:41,2458736.67895,null
2019-09-21 06:18:38,2458747.76294,null
2019-09-21 10:32:23,2458747.93916,null

