Gaia20brp
#Date,JD(TCB),averagemag
2014-11-16 21:43:32,2456978.40523,null
2014-11-16 23:30:18,2456978.47938,null
2015-01-14 03:59:59,2457036.66666,null
2015-01-14 08:13:09,2457036.84247,null
2015-01-14 09:59:54,2457036.91660,null
2015-01-24 14:19:21,2457047.09677,null
2015-01-24 16:06:05,2457047.17089,null
2015-03-06 02:49:56,2457087.61801,null
2015-03-31 02:37:35,2457112.60943,null
2015-05-01 06:30:38,2457143.77127,null
2015-05-01 08:16:48,2457143.84500,null
2015-06-17 13:52:39,2457191.07823,null
2015-06-17 18:06:23,2457191.25443,null
2015-06-17 19:53:08,2457191.32856,null
2015-06-18 00:06:53,2457191.50478,null
2015-06-18 01:53:38,2457191.57891,null
2015-07-05 00:18:34,2457208.51289,null
2015-07-05 02:05:19,2457208.58703,null
2015-07-05 06:19:04,2457208.76324,null
2015-07-05 08:05:14,2457208.83697,null
2015-08-25 07:49:10,2457259.82581,null
2015-09-23 23:54:25,2457289.49612,null
2015-09-24 01:41:11,2457289.57027,null
2015-10-21 11:43:42,2457316.98868,null
2015-10-21 13:29:53,2457317.06242,null
2015-11-29 22:40:18,2457356.44465,null
2015-11-30 00:26:29,2457356.51839,null
2015-12-11 22:46:43,2457368.44911,null
2015-12-12 00:32:54,2457368.52285,null
2016-01-24 15:09:12,2457412.13139,null
2016-02-06 05:00:32,2457424.70870,null
2016-02-06 09:14:17,2457424.88492,null
2016-03-16 02:07:40,2457463.58866,null
2016-03-16 03:54:25,2457463.66279,null
2016-04-13 13:49:42,2457492.07618,null
2016-04-13 15:36:27,2457492.15031,null
2016-05-12 09:26:16,2457520.89324,null
2016-07-03 09:06:30,2457572.87951,null
2016-07-03 13:20:15,2457573.05573,null
2016-07-03 15:07:00,2457573.12986,null
2016-07-03 19:20:45,2457573.30608,null
2016-07-21 07:32:42,2457590.81438,null
2016-07-21 09:19:27,2457590.88851,null
2016-07-21 13:33:13,2457591.06473,null
2016-07-21 15:19:23,2457591.13846,null
2016-09-05 13:13:38,2457637.05113,null
2016-10-07 06:55:25,2457668.78848,null
2016-10-07 08:41:35,2457668.86221,null
2016-10-31 12:49:29,2457693.03436,null
2016-12-11 11:35:50,2457733.98322,null
2016-12-11 13:22:00,2457734.05694,null
2016-12-21 05:42:10,2457743.73762,null
2016-12-21 07:28:55,2457743.81175,null
2016-12-21 11:42:05,2457743.98756,null
2017-02-02 17:52:32,2457787.24481,null
2017-02-18 07:18:00,2457802.80417,null
2017-02-18 11:31:44,2457802.98037,null
2017-03-27 10:36:00,2457839.94167,null
2017-04-28 11:59:17,2457871.99950,null
2017-04-28 16:13:01,2457872.17571,null
2017-05-24 22:12:21,2457898.42524,null
2017-05-24 23:58:31,2457898.49897,null
2017-07-17 23:41:58,2457952.48748,null
2017-07-18 03:55:43,2457952.66369,null
2017-07-18 05:42:28,2457952.73782,null
2017-07-18 09:56:13,2457952.91404,null
2017-08-08 04:07:38,2457973.67197,null
2017-08-08 05:54:24,2457973.74611,null
2017-09-17 09:46:45,2458013.90747,null
2017-09-17 11:32:55,2458013.98119,null
2017-11-11 03:15:48,2458068.63597,null
2017-11-11 05:02:33,2458068.71010,null
2017-12-23 13:52:58,2458111.07845,null
2017-12-23 15:39:43,2458111.15258,null
2018-01-01 01:58:56,2458119.58259,null
2018-01-01 03:45:41,2458119.65672,null
2018-02-13 02:14:38,2458162.59350,null
2018-03-03 18:26:39,2458181.26851,null
2018-03-03 20:13:24,2458181.34264,null
2018-05-14 07:02:33,2458252.79344,null
2018-05-14 11:16:17,2458252.96964,null
2018-06-06 17:23:02,2458276.22433,null
2018-06-06 19:09:12,2458276.29806,null
2018-07-31 11:07:51,2458330.96378,null
2018-07-31 12:54:36,2458331.03792,null
2018-08-24 17:15:47,2458355.21929,null
2018-08-24 19:02:33,2458355.29344,null
2018-09-29 00:42:44,2458390.52968,null
2018-09-29 04:56:30,2458390.70590,null
2018-11-03 22:15:05,2458426.42714,null
2018-11-04 00:01:50,2458426.50127,null
2018-11-21 16:18:00,2458444.17917,null
2018-11-21 18:04:45,2458444.25330,null
2019-01-03 20:47:17,2458487.36617,null
2019-01-03 22:34:02,2458487.44030,null
2019-01-12 14:53:35,2458496.12054,null
2019-01-12 16:40:20,2458496.19468,null
2019-02-23 15:15:25,2458538.13571,null
2019-03-17 09:09:15,2458559.88142,null
2019-04-19 12:50:18,2458593.03493,null
2019-04-19 14:37:02,2458593.10905,null
2019-05-31 06:23:31,2458634.76633,null
2019-05-31 08:10:15,2458634.84045,null
2019-05-31 12:24:00,2458635.01667,null
2019-06-20 06:34:15,2458654.77378,null
2019-06-20 08:21:00,2458654.84792,null
2019-06-20 12:34:45,2458655.02413,null
2019-06-20 14:21:30,2458655.09826,null
2019-08-29 00:24:21,2458724.51691,null
2019-08-29 04:38:07,2458724.69314,null
2019-09-20 17:26:47,2458747.22693,null
2019-09-20 19:13:33,2458747.30108,null
2019-10-23 19:01:29,2458780.29270,null
2019-12-03 02:46:22,2458820.61553,null
2019-12-03 04:32:32,2458820.68926,null
2019-12-03 08:46:17,2458820.86547,null
2019-12-03 10:33:03,2458820.93962,null
2019-12-21 16:57:52,2458839.20685,null
2019-12-21 21:11:37,2458839.38307,null
2019-12-21 22:58:22,2458839.45720,null
2019-12-22 03:11:33,2458839.63302,null
2020-02-10 05:04:57,2458889.71177,null
2020-02-10 06:51:42,2458889.78590,null
2020-03-07 13:41:57,2458916.07080,19.05
2020-04-07 01:09:21,2458946.54816,18.98
2020-04-07 02:55:55,2458946.62216,18.97
2020-05-15 21:15:08,2458985.38551,18.86
2020-05-15 23:01:42,2458985.45951,18.86
2020-05-31 03:37:56,2459000.65134,18.87
2020-05-31 05:24:30,2459000.72535,untrusted

