Gaia20ahy
#Date,JD(TCB),averagemag
2014-11-02 05:23:55,2456963.72494,18.49
2014-11-25 11:19:16,2456986.97171,18.51
2014-11-25 13:05:51,2456987.04573,18.48
2015-04-22 16:56:07,2457135.20564,18.57
2015-04-22 18:42:41,2457135.27964,18.55
2015-05-20 04:47:05,2457162.69936,null
2015-06-17 04:31:01,2457190.68821,null
2015-11-12 14:17:31,2457339.09550,18.43
2015-12-09 20:05:16,2457366.33699,18.42
2016-01-04 06:16:01,2457391.76112,18.42
2016-01-04 08:02:36,2457391.83514,18.38
2016-05-03 00:05:27,2457511.50378,18.47
2016-05-03 01:52:01,2457511.57779,18.47
2016-06-03 05:43:12,2457542.73833,18.46
2016-06-26 23:35:59,2457566.48332,null
2016-06-27 01:22:44,2457566.55745,null
2016-10-04 16:11:06,2457666.17438,18.43
2016-10-04 20:24:47,2457666.35054,18.41
2016-10-13 20:31:49,2457675.35543,18.41
2016-10-13 22:18:24,2457675.42944,18.41
2016-11-22 07:39:50,2457714.81933,18.38
2016-12-23 19:20:19,2457746.30578,18.44
2017-01-13 15:13:12,2457767.13417,18.47
2017-01-13 19:26:53,2457767.31034,18.44
2017-05-14 10:23:28,2457887.93296,18.42
2017-06-18 02:01:18,2457922.58424,18.40
2017-07-07 14:01:30,2457942.08438,18.44
2017-07-07 15:48:04,2457942.15838,18.45
2017-10-13 16:45:26,2458040.19822,18.33
2017-10-28 10:51:58,2458054.95275,18.42
2017-10-28 12:38:33,2458055.02677,18.38
2017-12-02 23:58:33,2458090.49899,18.35
2018-01-08 21:47:57,2458127.40830,18.38
2018-01-08 23:34:32,2458127.48231,18.35
2018-01-09 03:48:13,2458127.65848,18.35
2018-01-09 05:34:47,2458127.73249,18.37
2018-01-22 21:58:28,2458141.41560,18.38
2018-01-22 23:45:02,2458141.48961,18.37
2018-01-23 03:58:43,2458141.66578,18.36
2018-01-23 05:45:17,2458141.73978,18.37
2018-04-01 22:07:05,2458210.42159,null
2018-04-01 23:53:50,2458210.49572,null
2018-04-02 04:07:34,2458210.67192,null
2018-04-02 05:53:44,2458210.74565,null
2018-04-18 06:01:46,2458226.75123,18.33
2018-04-18 10:15:25,2458226.92737,18.35
2018-05-25 21:45:27,2458264.40656,18.35
2018-05-25 23:32:01,2458264.48057,18.36
2018-07-02 22:43:01,2458302.44654,18.30
2018-07-17 09:01:35,2458316.87610,18.31
2018-07-17 10:48:09,2458316.95010,18.32
2018-10-23 07:34:03,2458414.81531,18.31
2018-11-11 17:49:47,2458434.24291,18.30
2018-11-11 19:36:22,2458434.31692,18.31
2018-12-13 23:22:45,2458466.47413,18.27
2019-04-11 23:15:27,2458585.46906,18.28
2019-04-12 01:02:01,2458585.54307,18.29
2019-05-04 23:17:07,2458608.47022,18.32
2019-05-05 01:03:41,2458608.54422,18.33
2019-06-06 04:53:04,2458640.70352,18.32
2019-06-06 06:39:38,2458640.77752,18.30
2019-10-16 04:07:47,2458772.67207,18.14
2019-10-16 08:21:28,2458772.84824,18.16
2019-11-07 22:50:35,2458795.45179,18.17
2019-12-08 10:26:41,2458825.93520,18.11
2020-01-17 02:32:30,2458865.60590,null
2020-01-17 06:46:12,2458865.78208,18.11
2020-01-17 08:32:46,2458865.85609,18.12
2020-01-24 02:40:44,2458872.61162,18.11
2020-01-24 06:54:25,2458872.78779,18.09
2020-01-24 08:41:00,2458872.86181,18.09
2020-04-30 07:05:07,2458969.79522,18.16
2020-04-30 08:51:41,2458969.86922,18.17
2020-05-25 01:56:02,2458994.58058,18.18
2020-06-24 09:05:26,2459024.87877,18.18
2020-06-24 10:52:00,2459024.95278,18.20
2020-10-23 17:45:54,2459146.24021,18.12
2020-10-23 19:32:29,2459146.31422,18.09
2020-11-12 11:47:32,2459165.99134,18.10
2020-11-12 13:34:07,2459166.06536,18.09
2020-12-14 11:21:44,2459197.97343,18.07
2021-04-12 11:14:19,2459316.96828,18.08
2021-04-12 13:00:53,2459317.04228,18.08
2021-05-05 23:15:06,2459340.46882,18.09

