Gaia19bbg
#Date,JD(TCB),averagemag
2014-08-10 18:27:46,2456880.26928,null
2014-08-11 00:28:15,2456880.51962,null
2014-08-11 02:14:25,2456880.59334,null
2014-08-11 06:28:10,2456880.76956,null
2014-08-11 08:14:54,2456880.84368,null
2014-08-11 12:28:39,2456881.01990,null
2014-08-11 14:14:49,2456881.09362,null
2014-08-11 18:28:33,2456881.26983,null
2014-08-11 20:15:18,2456881.34396,null
2014-08-12 00:29:03,2456881.52017,null
2014-08-12 02:15:48,2456881.59431,null
2014-08-12 06:28:57,2456881.77010,null
2014-08-12 08:15:42,2456881.84424,null
2014-08-12 14:16:11,2456882.09457,null
2014-08-24 08:27:01,2456893.85209,null
2014-08-24 12:40:45,2456894.02830,null
2014-11-06 17:31:25,2456968.23015,null
2015-02-04 04:31:29,2457057.68853,null
2015-03-15 01:37:29,2457096.56770,null
2015-04-01 15:26:02,2457114.14308,null
2015-07-10 05:46:28,2457213.74060,null
2015-07-10 07:33:13,2457213.81473,null
2015-08-14 01:11:09,2457248.54941,null
2015-08-14 05:24:53,2457248.72561,null
2015-09-12 05:20:15,2457277.72240,null
2015-09-12 07:06:25,2457277.79612,null
2015-10-22 22:57:00,2457318.45625,null
2015-10-23 00:43:10,2457318.52998,null
2015-11-20 22:50:13,2457347.45154,null
2015-12-21 22:31:43,2457378.43869,null
2016-01-25 09:50:09,2457412.90983,null
2016-01-25 11:36:19,2457412.98355,null
2016-02-15 09:47:02,2457433.90766,null
2016-02-15 11:33:47,2457433.98179,null
2016-03-25 22:21:53,2457473.43186,null
2016-04-12 22:23:52,2457491.43324,null
2016-04-13 02:37:37,2457491.60946,null
2016-06-17 07:22:51,2457556.80753,null
2016-06-17 09:09:36,2457556.88167,null
2016-07-21 20:39:47,2457591.36096,null
2016-08-27 20:16:34,2457628.34484,null
2016-08-28 00:30:19,2457628.52105,null
2016-09-25 06:28:39,2457656.76990,null
2016-09-25 08:15:24,2457656.84403,null
2016-11-03 18:05:45,2457696.25399,null
2016-11-03 19:52:30,2457696.32813,null
2016-12-03 17:53:41,2457726.24561,null
2016-12-03 19:39:51,2457726.31934,null
2017-01-01 11:37:39,2457754.98448,null
2017-02-06 04:48:36,2457790.70042,null
2017-02-06 06:35:21,2457790.77455,null
2017-02-25 18:10:20,2457810.25718,null
2017-02-25 19:57:05,2457810.33131,null
2017-04-06 18:43:24,2457850.28014,null
2017-04-25 16:57:29,2457869.20659,null
2017-06-03 15:58:25,2457908.16557,null
2017-06-03 17:45:09,2457908.23969,null
2017-07-01 11:31:58,2457935.98053,null
2017-07-01 15:45:42,2457936.15674,null
2017-08-03 15:23:35,2457969.14138,null
2017-08-03 17:10:20,2457969.21551,null
2017-10-09 08:59:30,2458035.87465,null
2017-10-09 10:46:16,2458035.94880,null
2017-11-16 08:36:57,2458073.85899,null
2017-12-17 08:18:24,2458104.84611,null
2017-12-17 10:04:34,2458104.91984,null
2018-01-12 20:05:55,2458131.33744,null
2018-03-09 07:10:36,2458186.79903,null
2018-03-09 08:57:21,2458186.87316,null
2018-04-18 13:43:07,2458227.07161,null
2018-05-08 17:55:22,2458247.24678,null
2018-06-15 18:49:35,2458285.28443,null
2018-07-15 22:46:20,2458315.44884,null
2018-07-16 00:33:05,2458315.52297,null
2018-08-16 16:31:54,2458347.18882,null
2018-08-16 18:18:04,2458347.26255,null
2018-09-25 22:07:46,2458387.42206,null
2018-09-25 23:54:31,2458387.49619,null
2018-10-23 16:07:04,2458415.17157,null
2018-10-23 17:53:49,2458415.24571,null
2018-11-28 11:31:44,2458450.98037,null
2018-12-30 15:19:12,2458483.13833,null
2018-12-30 17:05:57,2458483.21247,null
2019-01-24 03:10:08,2458507.63204,null
2019-01-24 04:56:53,2458507.70617,null
2019-03-03 02:07:39,2458545.58865,null
2019-03-03 03:54:24,2458545.66278,null
2019-03-20 21:55:47,2458563.41374,17.87
2019-03-21 02:09:27,2458563.58990,17.88
2019-04-30 06:56:47,2458603.78943,19.46
2019-04-30 08:43:21,2458603.86344,19.41
2019-05-22 00:53:25,2458625.53709,20.19
2019-05-22 02:39:59,2458625.61110,20.13
2019-06-28 01:55:04,2458662.57991,null
2019-09-05 22:14:19,2458732.42661,null
2019-09-06 00:00:29,2458732.50034,null
2019-09-24 04:46:32,2458750.69898,null
2019-09-24 06:33:17,2458750.77311,null

