Gaia14aaq
#Date,JD(TCB),averagemag
2014-07-03 17:46:54,2456842.24090,19.89
2014-07-03 19:33:28,2456842.31491,19.71
2014-07-03 23:47:08,2456842.49106,19.82
2014-09-12 13:06:54,2456913.04646,19.80
2014-09-12 14:53:05,2456913.12020,19.86
2014-09-12 19:07:14,2456913.29669,19.89
2014-09-12 20:53:44,2456913.37065,19.87
2014-09-13 01:06:55,2456913.54647,19.88
2014-09-13 02:53:58,2456913.62081,19.84
2014-09-13 07:07:11,2456913.79666,19.94
2014-09-22 13:15:23,2456923.05235,null
2014-10-17 10:21:09,2456947.93135,null
2014-10-17 12:08:13,2456948.00571,19.80
2014-11-14 16:09:58,2456976.17359,19.84
2014-11-14 17:56:32,2456976.24759,19.83
2014-12-10 05:44:27,2457001.73920,null
2015-01-22 02:45:31,2457044.61494,null
2015-01-22 04:32:19,2457044.68911,null
2015-01-22 08:45:47,2457044.86513,null
2015-01-22 10:32:35,2457044.93929,null
2015-01-22 14:46:04,2457045.11532,null
2015-01-22 16:32:54,2457045.18951,null
2015-01-22 20:46:18,2457045.36549,null
2015-01-22 22:32:39,2457045.43934,null
2015-01-24 16:34:34,2457047.19067,19.17
2015-01-24 20:48:19,2457047.36689,19.14
2015-01-24 22:34:34,2457047.44067,19.20
2015-01-25 02:48:14,2457047.61683,19.18
2015-01-25 04:35:04,2457047.69102,19.14
2015-01-25 08:48:49,2457047.86723,19.19
2015-01-25 10:35:04,2457047.94102,19.17
2015-01-25 14:48:49,2457048.11723,19.14
2015-03-15 19:01:53,2457097.29297,19.43
2015-03-15 20:48:12,2457097.36681,19.49
2015-03-16 01:02:22,2457097.54331,19.37
2015-03-16 02:48:43,2457097.61716,19.40
2015-03-24 07:08:10,2457105.79734,null
2015-03-24 08:54:38,2457105.87127,19.88
2015-05-04 18:05:16,2457147.25366,null
2015-05-04 19:51:27,2457147.32740,20.10

