Gaia19fju
#Date,JD(TCB),averagemag
2014-10-31 02:42:20,2456961.61273,18.43
2014-10-31 04:28:54,2456961.68674,18.28
2014-11-30 02:19:43,2456991.59703,null
2014-11-30 04:06:10,2456991.67095,18.91
2015-02-20 09:50:42,2457073.91021,18.72
2015-02-20 14:04:22,2457074.08637,18.66
2015-02-20 15:50:56,2457074.16037,18.83
2015-02-20 20:04:37,2457074.33654,18.62
2015-02-20 21:51:11,2457074.41054,18.76
2015-02-21 02:04:51,2457074.58670,untrusted
2015-02-21 03:51:26,2457074.66072,untrusted
2015-02-21 08:05:20,2457074.83704,null
2015-03-03 14:13:52,2457085.09296,19.03
2015-03-03 20:14:07,2457085.34314,untrusted
2015-03-03 22:01:13,2457085.41751,null
2015-03-04 02:14:22,2457085.59331,19.04
2015-03-04 04:01:09,2457085.66747,null
2015-03-04 10:01:39,2457085.91781,null
2015-04-17 19:54:00,2457130.32917,17.97
2015-04-17 21:40:34,2457130.40317,18.06
2015-05-21 01:30:05,2457163.56256,null
2015-05-21 03:16:50,2457163.63669,null
2015-06-12 09:16:10,2457185.88623,null
2015-09-19 16:36:26,2457285.19197,19.06
2015-09-19 18:23:00,2457285.26597,18.89
2015-10-05 22:39:33,2457301.44413,18.94
2015-11-11 03:49:22,2457337.65928,null
2015-11-11 05:35:31,2457337.73300,null
2015-12-15 05:07:11,2457371.71332,18.94
2015-12-15 09:20:50,2457371.88947,19.00
2016-01-05 03:26:04,2457392.64310,18.83
2016-01-05 05:12:38,2457392.71711,untrusted
2016-03-02 17:01:43,2457450.20953,18.84
2016-03-02 21:15:23,2457450.38568,19.09
2016-03-02 23:01:58,2457450.45970,18.96
2016-03-21 09:26:09,2457468.89316,18.76
2016-03-21 11:12:44,2457468.96718,18.70
2016-03-21 15:26:24,2457469.14333,18.94
2016-03-21 17:12:59,2457469.21735,18.65
2016-04-28 10:51:00,2457506.95208,18.41
2016-06-03 14:29:17,2457543.10367,null
2016-06-03 16:15:28,2457543.17741,null
2016-06-22 04:19:34,2457561.68025,null
2016-09-29 01:23:14,2457660.55780,null
2016-10-18 19:21:17,2457680.30645,null
2016-11-21 10:56:28,2457713.95588,null
2016-12-30 18:12:47,2457753.25888,18.70
2016-12-30 22:26:28,2457753.43505,null
2016-12-31 00:13:01,2457753.50904,18.79
2017-01-15 04:36:22,2457768.69192,null
2017-01-15 06:22:31,2457768.76564,null
2017-01-15 10:36:16,2457768.94185,null
2017-01-15 12:23:01,2457769.01598,null
2017-03-14 05:49:23,2457826.74263,null
2017-03-14 07:36:09,2457826.81677,null
2017-03-14 11:49:19,2457826.99258,null
2017-04-06 17:55:02,2457850.24655,null
2017-04-06 19:41:48,2457850.32069,null
2017-05-09 23:36:45,2457883.48385,null
2017-05-10 01:23:30,2457883.55799,null
2017-06-17 22:49:28,2457922.45102,null
2017-06-18 00:36:14,2457922.52516,null
2017-07-02 16:56:40,2457937.20602,null
2017-07-02 18:42:50,2457937.27975,null
2017-08-21 09:19:59,2457986.88888,null
2017-08-21 11:06:09,2457986.96260,null
2017-08-21 15:19:54,2457987.13882,null
2017-08-21 17:06:38,2457987.21294,null
2017-08-21 21:20:23,2457987.38916,null
2017-08-21 23:06:32,2457987.46287,18.98
2017-08-22 03:20:12,2457987.63903,18.94
2017-08-22 05:06:46,2457987.71303,18.99
2017-08-22 11:06:59,2457987.96318,19.01
