Gaia19agt
#Date,JD(TCB),averagemag
2014-08-24 16:10:11,2456894.17374,null
2014-08-24 17:56:21,2456894.24747,null
2014-11-08 20:11:26,2456970.34127,null
2015-01-08 07:13:04,2457030.80074,null
2015-02-02 05:16:25,2457055.71973,null
2015-03-09 00:21:08,2457090.51468,null
2015-04-05 22:21:25,2457118.43154,null
2015-06-10 15:35:12,2457184.14944,null
2015-06-10 17:21:22,2457184.22317,null
2015-07-15 03:10:51,2457218.63253,null
2015-07-15 04:57:01,2457218.70626,null
2015-08-15 14:54:14,2457250.12100,null
2015-09-19 08:22:52,2457284.84921,null
2015-09-19 10:09:37,2457284.92334,null
2015-11-21 09:12:43,2457347.88383,null
2015-12-16 07:15:44,2457372.80259,null
2015-12-16 09:01:54,2457372.87632,null
2016-01-20 12:29:04,2457408.02019,null
2016-02-14 18:17:58,2457433.26248,null
2016-03-20 11:38:55,2457467.98536,null
2016-03-20 13:25:05,2457468.05909,null
2016-04-18 01:10:48,2457496.54917,null
2016-05-22 12:43:24,2457531.03014,null
2016-06-23 04:39:49,2457562.69432,null
2016-06-23 06:26:34,2457562.76845,null
2016-07-27 16:15:21,2457597.17733,null
2016-07-27 18:01:30,2457597.25104,null
2016-08-27 15:58:48,2457628.16583,null
2016-08-27 17:45:33,2457628.23997,null
2016-10-01 11:11:50,2457662.96655,null
2016-10-01 15:25:35,2457663.14277,null
2016-10-28 15:12:05,2457690.13339,null
2016-10-28 16:58:50,2457690.20752,null
2016-12-02 20:27:53,2457725.35270,null
2016-12-02 22:14:38,2457725.42683,null
2017-01-31 15:18:05,2457785.13756,null
2017-02-26 08:42:24,2457810.86278,null
2017-02-26 10:29:09,2457810.93691,null
2017-04-02 02:05:43,2457845.58730,null
2017-05-01 09:37:20,2457874.90093,null
2017-06-04 19:24:15,2457909.30851,null
2017-06-04 21:11:00,2457909.38264,null
2017-07-06 19:07:13,2457941.29668,null
2017-07-06 20:53:58,2457941.37081,null
2017-08-10 06:41:28,2457975.77880,null
2017-08-10 08:28:13,2457975.85293,null
2017-09-09 12:25:42,2458006.01785,null
2017-09-09 14:12:27,2458006.09198,null
2017-10-14 13:36:18,2458041.06688,null
2017-11-09 23:37:26,2458067.48433,null
2017-11-10 01:24:11,2458067.55846,null
2017-12-15 04:52:10,2458102.70289,null
2017-12-15 06:38:20,2458102.77662,null
2018-01-08 16:41:40,2458127.19560,null
2018-01-08 18:27:50,2458127.26933,null
2018-02-12 17:43:13,2458162.23834,null
2018-03-11 03:44:31,2458188.65591,null
2018-03-11 05:31:16,2458188.73005,null
2018-04-14 16:56:25,2458223.20584,null
2018-05-14 20:54:45,2458253.37135,null
2018-05-14 22:40:55,2458253.44508,null
2018-06-18 08:29:29,2458287.85381,null
2018-07-20 08:12:55,2458319.84230,null
2018-08-23 19:45:18,2458354.32313,null
2018-08-23 21:32:03,2458354.39726,null
2018-09-22 07:29:45,2458383.81233,null
2018-09-22 09:16:30,2458383.88646,null
2018-10-27 12:51:47,2458419.03596,null
2018-11-22 06:39:59,2458444.77777,null
2018-12-27 11:53:39,2458479.99559,null
2019-01-20 23:42:50,2458504.48808,16.03
2019-01-21 01:29:25,2458504.56209,16.02
2019-02-25 00:46:05,2458539.53200,17.33
2019-03-24 00:33:13,2458566.52307,18.31
2019-04-27 16:14:48,2458601.17694,19.11
2019-05-28 09:58:53,2458631.91589,null
2019-05-28 11:45:19,2458631.98980,19.30
2019-07-01 17:20:55,2458666.22286,null
2019-07-01 21:34:40,2458666.39907,null
2019-07-24 17:18:58,2458689.22150,null
2019-07-24 19:05:08,2458689.29523,null
2019-08-30 14:56:42,2458726.12271,null
2019-09-27 10:01:41,2458753.91784,null

