Gaia18cxx
#Date,JD(TCB),averagemag
2014-09-12 10:53:25,2456912.95376,untrusted
2014-09-12 12:39:59,2456913.02777,untrusted
2014-10-16 20:02:53,2456947.33534,untrusted
2015-03-03 23:06:23,2457085.46277,17.09
2015-03-04 03:20:35,2457085.63929,null
2015-03-23 23:09:31,2457105.46494,17.34
2015-04-24 03:04:03,2457136.62781,17.16
2015-04-24 04:50:38,2457136.70183,17.22
2015-09-05 09:35:08,2457270.89940,17.34
2015-09-05 11:21:48,2457270.97347,null
2015-09-28 11:18:20,2457293.97106,17.23
2015-10-27 09:10:27,2457322.88226,17.16
2016-03-12 18:13:39,2457460.25948,17.19
2016-05-03 22:15:31,2457512.42744,17.90
2016-09-14 16:43:14,2457646.19669,untrusted
2016-09-14 18:29:48,2457646.27069,17.22
2016-10-12 12:13:26,2457674.00933,16.98
2016-11-05 10:16:42,2457697.92826,17.17
2016-11-05 12:03:15,2457698.00226,17.22
2017-03-23 00:59:12,2457835.54111,null
2017-03-23 02:45:32,2457835.61495,17.26
2017-04-22 00:43:40,2457865.53032,17.51
2017-04-22 02:30:15,2457865.60434,17.43
2017-05-14 00:48:12,2457887.53347,17.28
2017-05-14 02:34:47,2457887.60749,17.27
2017-09-25 13:14:34,2458022.05178,null
2017-10-27 06:43:53,2458053.78047,17.52
2017-10-27 08:30:26,2458053.85447,17.52
2017-11-15 00:43:36,2458072.53028,17.15
2017-11-15 02:30:10,2458072.60428,17.17
2018-04-02 15:56:04,2458211.16394,17.11
2018-05-08 07:45:39,2458246.82337,untrusted
2018-05-08 09:32:14,2458246.89738,17.11
2018-05-22 19:55:42,2458261.33035,17.26
2018-05-22 21:42:17,2458261.40436,17.25
2018-05-23 01:55:58,2458261.58053,17.28
2018-10-06 08:23:09,2458397.84941,16.53
2018-10-06 10:09:43,2458397.92341,16.55
2018-11-11 09:25:21,2458433.89260,17.00
2018-11-11 13:39:00,2458434.06875,16.97
2018-11-23 07:44:25,2458445.82251,17.49
2018-11-23 09:30:59,2458445.89652,17.52
2019-02-23 11:31:19,2458537.98008,17.25
2019-02-23 15:45:00,2458538.15625,17.32
2019-02-23 17:31:35,2458538.23027,17.34
2019-03-09 03:52:58,2458551.66178,17.15
2019-03-09 05:39:32,2458551.73579,17.30
2019-04-13 11:07:30,2458586.96354,null
2019-04-13 15:21:07,2458587.13966,17.21
2019-08-28 20:21:22,2458724.34817,17.46
2019-08-28 22:07:55,2458724.42216,17.57
2019-09-12 10:27:06,2458738.93549,untrusted
2019-09-12 14:40:45,2458739.11163,17.19
2019-10-17 16:18:18,2458774.17938,17.13
2019-10-17 18:04:52,2458774.25338,17.15
2020-02-23 13:53:25,2458903.07876,17.26
2020-02-23 15:40:00,2458903.15278,17.18
2020-03-11 02:19:40,2458919.59699,null
2020-03-11 04:06:10,2458919.67095,16.78
2020-04-13 15:54:37,2458953.16293,17.74
2020-10-06 20:21:55,2459129.34855,17.19
2020-11-12 07:36:26,2459165.81697,17.02
2020-11-12 09:22:59,2459165.89096,17.07
2020-11-12 13:36:38,2459166.06711,17.04
2020-11-23 13:42:16,2459177.07102,17.35
2020-11-23 15:28:49,2459177.14501,17.23
2021-02-23 17:29:26,2459269.22877,16.94
2021-02-23 21:43:07,2459269.40494,16.95
2021-03-10 03:50:56,2459283.66037,17.23
2021-03-10 05:37:31,2459283.73439,17.23
2021-04-13 23:06:28,2459318.46282,17.00
2021-04-14 03:20:09,2459318.63899,16.99

