Gaia18blk
#Date,JD(TCB),averagemag
2014-08-29 06:43:43,2456898.78036,null
2015-01-03 16:33:55,2457026.19022,null
2015-01-03 18:20:41,2457026.26436,null
2015-01-25 04:32:02,2457047.68891,null
2015-01-25 06:18:12,2457047.76264,null
2015-02-24 16:11:59,2457078.17499,null
2015-02-24 17:58:10,2457078.24873,null
2015-06-26 10:04:19,2457199.91966,null
2015-06-26 11:51:03,2457199.99378,null
2015-07-22 22:00:23,2457226.41693,null
2015-08-21 17:27:24,2457256.22736,null
2015-10-04 04:19:54,2457299.68049,null
2015-10-04 08:33:39,2457299.85670,null
2015-10-04 10:20:23,2457299.93082,null
2015-10-04 14:34:08,2457300.10704,null
2015-10-08 08:37:19,2457303.85925,null
2015-10-08 10:23:29,2457303.93297,null
2015-10-08 14:37:13,2457304.10918,null
2015-10-08 16:23:58,2457304.18331,null
2015-10-08 20:37:43,2457304.35953,null
2015-10-08 22:23:52,2457304.43324,null
2016-01-13 19:26:17,2457401.30992,null
2016-01-13 23:40:03,2457401.48615,null
2016-02-08 07:17:14,2457426.80363,null
2016-03-06 17:23:13,2457454.22446,null
2016-03-06 19:09:23,2457454.29818,null
2016-07-06 23:13:45,2457576.46788,null
2016-07-07 01:00:30,2457576.54201,null
2016-08-06 00:44:17,2457606.53075,null
2016-08-06 04:58:00,2457606.70694,null
2016-08-31 16:46:04,2457632.19866,null
2016-08-31 18:32:49,2457632.27279,null
2016-12-07 03:25:45,2457729.64288,null
2016-12-07 07:39:30,2457729.81910,null
2016-12-07 09:26:16,2457729.89324,null
2016-12-07 13:40:01,2457730.06946,null
2016-12-14 07:45:49,2457736.82348,null
2016-12-14 09:32:34,2457736.89762,null
2017-01-23 08:34:12,2457776.85708,null
2017-02-21 19:53:58,2457806.32914,null
2017-02-21 21:40:09,2457806.40288,null
2017-03-17 15:43:23,2457830.15513,null
2017-03-17 19:57:09,2457830.33135,null
2017-07-18 15:32:03,2457953.14726,null
2017-08-20 21:02:36,2457986.37681,null
2017-12-15 17:44:54,2458103.23951,null
2017-12-15 21:58:40,2458103.41574,null
2017-12-28 16:05:26,2458116.17044,null
2017-12-28 17:52:11,2458116.24457,null
2018-02-03 03:19:22,2458152.63845,null
2018-03-09 14:57:43,2458187.12341,null
2018-03-09 16:43:53,2458187.19714,null
2018-03-28 04:53:53,2458205.70409,null
2018-03-28 09:07:39,2458205.88031,null
2018-03-28 10:54:24,2458205.95444,null
2018-06-05 15:14:32,2458275.13509,18.44
2018-06-05 17:01:06,2458275.20910,18.58
2018-06-05 21:14:45,2458275.38524,18.66
2018-06-05 23:01:19,2458275.45925,18.73
2018-06-18 21:23:40,2458288.39144,20.61
2018-06-18 23:10:14,2458288.46544,20.67
2018-06-19 03:24:00,2458288.64167,null
2018-06-19 05:10:27,2458288.71559,20.56
2018-07-30 08:54:26,2458329.87113,null
2018-09-04 14:11:28,2458366.09130,null
2018-09-21 08:13:40,2458382.84282,null
2018-09-21 10:00:24,2458382.91694,null
2018-12-25 04:59:01,2458477.70765,null
2019-02-14 00:16:23,2458528.51138,null
2019-03-28 04:07:28,2458570.67185,null
2019-03-28 05:54:13,2458570.74598,null
2019-03-28 10:07:59,2458570.92221,null
2019-03-28 11:54:09,2458570.99594,null
2019-03-28 16:07:55,2458571.17216,null
2019-03-28 17:54:40,2458571.24630,null
2019-03-28 23:54:36,2458571.49625,null
2019-04-05 00:01:29,2458578.50103,null
2019-04-05 04:15:14,2458578.67725,null
2019-04-05 06:01:25,2458578.75098,null
2019-04-05 10:15:10,2458578.92720,null
2019-04-05 12:01:56,2458579.00134,null
2019-04-05 16:15:41,2458579.17756,null
2019-04-05 18:01:51,2458579.25128,null
2019-04-05 22:15:37,2458579.42751,null
2019-06-15 10:23:34,2458649.93303,null
2019-06-15 12:09:43,2458650.00675,null
2019-06-15 16:23:28,2458650.18296,null
2019-06-15 18:10:12,2458650.25708,null
2019-07-07 00:15:16,2458671.51060,null
2019-07-07 04:29:00,2458671.68681,null
2019-08-19 01:18:23,2458714.55443,null

