Gaia19ejp
#Date,JD(TCB),averagemag
2015-01-11 12:40:43,2457034.02828,null
2015-01-11 14:27:27,2457034.10240,null
2015-02-14 18:09:21,2457068.25649,null
2015-02-14 19:55:31,2457068.33022,null
2015-03-24 23:14:09,2457106.46816,null
2015-03-25 01:00:53,2457106.54228,null
2015-03-25 05:14:37,2457106.71848,null
2015-04-03 23:20:24,2457116.47250,null
2015-04-04 01:07:08,2457116.54662,null
2015-07-11 19:56:43,2457215.33105,null
2015-07-11 21:42:53,2457215.40478,null
2015-09-03 13:38:15,2457269.06823,null
2016-01-04 19:41:43,2457392.32064,null
2016-01-04 21:28:28,2457392.39477,null
2016-01-27 01:39:58,2457414.56942,null
2016-01-27 03:26:42,2457414.64354,null
2016-07-21 09:02:51,2457590.87698,null
2016-09-13 14:49:37,2457645.11779,null
2016-09-13 16:36:23,2457645.19193,null
2017-01-14 02:50:26,2457767.61836,null
2017-01-14 04:37:10,2457767.69248,null
2017-02-09 17:44:59,2457794.23957,null
2017-03-06 21:44:53,2457819.40617,null
2017-03-06 23:31:37,2457819.48029,null
2017-08-01 05:34:12,2457966.73208,null
2017-08-30 23:21:00,2457996.47292,null
2017-08-31 01:07:46,2457996.54706,null
2017-09-24 11:23:11,2458020.97443,null
2017-09-24 13:09:56,2458021.04856,null
2018-01-24 17:21:43,2458143.22341,null
2018-03-16 22:48:55,2458194.45064,null
2018-03-17 00:35:40,2458194.52477,null
2018-06-23 15:09:53,2458293.13186,null
2018-06-23 19:23:03,2458293.30767,null
2018-06-23 21:09:49,2458293.38182,null
2018-06-24 01:23:34,2458293.55803,null
2018-07-01 19:30:24,2458301.31278,null
2018-07-01 21:16:34,2458301.38650,null
2018-07-02 01:30:20,2458301.56273,null
2018-07-02 03:17:05,2458301.63686,null
2018-08-12 06:43:53,2458342.78047,null
2018-08-12 08:30:39,2458342.85462,null
2018-09-16 00:23:42,2458377.51646,null
2018-09-16 02:10:27,2458377.59059,null
2018-10-04 08:19:35,2458395.84693,null
2018-10-04 12:33:21,2458396.02316,null
2018-10-04 14:20:06,2458396.09729,null
2019-02-04 08:16:15,2458518.84462,null
2019-03-10 11:48:06,2458552.99174,null
2019-03-26 11:50:58,2458568.99373,null
2019-03-26 13:37:07,2458569.06744,null
2019-07-02 08:21:50,2458666.84850,null
2019-07-02 10:08:35,2458666.92263,null
2019-08-08 18:46:00,2458704.28194,null
2019-08-08 22:59:47,2458704.45818,null
2019-09-13 14:35:09,2458740.10774,null
2019-09-29 15:01:55,2458756.12633,17.98
2019-09-29 19:15:37,2458756.30251,18.01

