Gaia18boi
#Date,JD(TCB),averagemag
2014-08-26 18:06:42,2456896.25465,null
2014-11-11 08:06:37,2456972.83793,null
2015-01-08 07:00:14,2457030.79183,null
2015-01-30 17:08:26,2457053.21419,null
2015-01-30 18:54:36,2457053.28792,null
2015-03-06 16:26:43,2457088.18522,null
2015-04-05 16:10:24,2457118.17389,null
2015-04-05 17:57:09,2457118.24802,null
2015-05-07 11:42:16,2457149.98769,null
2015-06-13 17:20:48,2457187.22278,null
2015-07-15 09:23:31,2457218.89133,null
2015-07-15 11:10:16,2457218.96546,null
2015-09-22 02:28:44,2457287.60329,null
2015-11-23 13:18:52,2457350.05477,null
2015-11-23 15:05:37,2457350.12890,null
2015-12-13 19:16:10,2457370.30289,null
2015-12-13 21:02:55,2457370.37703,null
2016-01-20 00:16:04,2457407.51116,null
2016-02-12 12:08:30,2457431.00590,null
2016-02-12 13:54:41,2457431.07964,null
2016-03-17 17:32:54,2457465.23118,null
2016-03-17 19:19:40,2457465.30532,null
2016-04-18 17:14:43,2457497.21855,null
2016-04-18 19:01:28,2457497.29269,null
2016-05-19 23:03:49,2457528.46098,null
2016-05-20 00:49:59,2457528.53471,null
2016-06-26 12:28:40,2457566.01991,null
2016-07-28 16:28:00,2457598.18611,null
2016-07-28 18:14:45,2457598.26024,null
2016-08-29 16:09:04,2457630.17296,null
2016-08-29 17:55:48,2457630.24708,null
2016-10-04 09:28:48,2457665.89500,null
2016-10-27 21:21:21,2457689.38983,null
2016-12-04 14:18:39,2457727.09628,null
2016-12-24 20:15:33,2457747.34413,null
2016-12-24 22:02:18,2457747.41826,null
2017-01-30 13:18:47,2457784.05471,null
2017-03-30 02:02:25,2457842.58501,null
2017-03-30 03:48:35,2457842.65874,null
2017-05-02 19:42:56,2457876.32148,null
2017-05-02 21:29:06,2457876.39521,null
2017-06-02 19:33:35,2457907.31499,null
2017-06-02 21:20:20,2457907.38912,null
2017-07-10 01:11:59,2457944.54999,null
2017-07-10 02:58:09,2457944.62372,null
2017-08-11 20:40:19,2457977.36133,null
2017-08-12 00:54:04,2457977.53755,null
2017-10-17 07:36:56,2458043.81731,null
2017-10-17 11:50:40,2458043.99352,null
2017-11-08 13:31:15,2458066.06337,null
2017-12-16 10:40:52,2458103.94505,null
2018-01-05 22:37:17,2458124.44256,null
2018-01-06 00:24:02,2458124.51669,null
2018-02-11 03:44:59,2458160.65624,null
2018-02-11 05:31:44,2458160.73037,null
2018-04-11 16:55:43,2458220.20536,null
2018-05-16 20:48:47,2458255.36721,null
2018-05-16 22:35:32,2458255.44134,null
2018-06-16 22:26:54,2458286.43535,18.29
2018-06-17 02:40:34,2458286.61150,18.31
2018-07-23 08:19:12,2458322.84667,null
2018-07-23 10:05:22,2458322.92039,null
2018-08-25 21:42:25,2458356.40446,null
2018-08-26 01:56:09,2458356.58066,null
2018-09-23 07:41:26,2458384.82044,null
2018-10-30 02:36:09,2458421.60844,null
2018-11-20 08:32:09,2458442.85566,null
2018-12-28 01:27:46,2458480.56095,null
2019-02-22 22:50:04,2458537.45144,null
2019-02-23 00:36:14,2458537.52516,null
2019-03-23 06:22:13,2458565.76543,null
2019-04-24 12:03:18,2458598.00229,null
2019-04-24 16:17:03,2458598.17851,null
2019-05-31 03:56:10,2458634.66400,null
2019-07-01 05:33:31,2458665.73161,null
2019-07-01 09:47:16,2458665.90782,null
2019-07-21 23:20:16,2458686.47241,null
2019-09-26 16:11:34,2458753.17470,null

