Gaia19coj
#Date,JD(TCB),averagemag
2014-08-31 10:23:33,2456900.93302,null
2014-08-31 14:37:19,2456901.10925,null
2015-01-21 02:49:40,2457043.61782,null
2015-02-17 00:44:49,2457070.53112,null
2015-02-17 02:31:34,2457070.60525,null
2015-07-02 13:27:46,2457206.06095,null
2015-07-02 15:14:31,2457206.13508,null
2015-07-29 15:09:13,2457233.13140,null
2015-08-24 15:05:17,2457259.12867,null
2016-01-08 02:18:50,2457395.59641,null
2016-01-08 04:05:34,2457395.67053,null
2016-02-04 15:43:42,2457423.15535,null
2016-02-26 21:38:30,2457445.40174,null
2016-07-12 08:39:20,2457581.86065,null
2016-08-13 02:22:07,2457613.59869,null
2016-08-13 04:08:52,2457613.67282,null
2016-09-02 14:26:39,2457634.10184,null
2016-09-02 16:13:25,2457634.17598,null
2017-02-18 18:02:08,2457803.25148,null
2017-02-18 22:15:17,2457803.42728,null
2017-03-06 22:19:39,2457819.43031,null
2017-03-07 00:06:23,2457819.50443,null
2017-07-23 07:00:00,2457957.79167,null
2017-07-23 11:13:46,2457957.96789,null
2017-08-29 04:44:57,2457994.69788,null
2017-08-29 06:31:07,2457994.77161,null
2017-12-13 00:35:21,2458100.52455,null
2017-12-13 02:22:05,2458100.59867,null
2017-12-13 06:35:49,2458100.77487,null
2017-12-13 08:22:34,2458100.84900,null
2017-12-21 20:27:32,2458109.35245,null
2017-12-22 00:41:16,2458109.52866,null
2017-12-22 02:28:00,2458109.60278,null
2018-01-27 17:57:08,2458146.24801,null
2018-03-10 01:03:05,2458187.54381,null
2018-03-10 07:03:33,2458187.79413,null
2018-03-10 13:03:27,2458188.04406,null
2018-03-10 19:03:55,2458188.29439,null
2018-03-11 01:04:23,2458188.54471,null
2018-06-13 20:27:09,2458283.35219,null
2018-06-14 00:40:55,2458283.52841,null
2018-06-14 02:27:40,2458283.60255,null
2018-06-27 18:50:43,2458297.28522,null
2018-06-27 20:36:54,2458297.35896,null
2018-06-28 00:50:40,2458297.53519,null
2018-06-28 02:37:26,2458297.60933,null
2018-08-03 12:25:23,2458334.01763,null
2018-12-20 07:35:59,2458472.81666,null
2018-12-20 09:22:44,2458472.89079,null
2019-01-06 19:37:50,2458490.31794,null
2019-02-07 01:05:25,2458521.54543,null
2019-02-07 02:52:09,2458521.61955,null
2019-06-22 15:33:18,2458657.14813,17.67
2019-06-22 19:46:59,2458657.32429,17.68
2019-07-14 07:51:44,2458678.82759,18.71
2019-07-14 09:38:19,2458678.90161,18.75
2019-08-11 16:28:57,2458707.18677,19.56
2019-08-11 18:15:32,2458707.26079,untrusted

