Gaia17cjp
#Date,JD(TCB),averagemag
2015-01-02 05:32:16,2457024.73074,null
2015-01-02 09:46:02,2457024.90697,null
2015-01-02 11:32:48,2457024.98111,null
2015-01-14 09:55:05,2457036.91325,null
2015-01-14 11:41:15,2457036.98698,null
2015-02-18 11:13:26,2457071.96766,null
2015-07-10 04:44:16,2457213.69741,null
2015-07-10 06:31:01,2457213.77154,null
2015-07-28 04:47:09,2457231.69941,null
2015-07-28 06:33:53,2457231.77353,null
2015-08-30 18:01:43,2457265.25119,null
2016-01-10 06:37:47,2457397.77624,null
2016-01-10 10:51:33,2457397.95247,null
2016-01-30 04:55:42,2457417.70535,null
2016-01-30 06:42:28,2457417.77949,null
2016-02-28 22:37:49,2457447.44293,null
2016-02-29 00:24:34,2457447.51706,null
2016-07-18 17:49:05,2457588.24242,null
2016-07-18 19:35:15,2457588.31615,null
2016-08-11 19:28:42,2457612.31160,null
2016-09-09 11:23:42,2457640.97479,null
2016-09-09 13:10:27,2457641.04892,null
2017-01-18 18:00:25,2457772.25029,null
2017-01-18 19:46:36,2457772.32403,null
2017-02-12 21:03:26,2457797.37738,null
2017-03-10 02:56:50,2457822.62280,null
2017-07-29 08:18:30,2457963.84618,null
2017-08-27 01:59:39,2457992.58309,null
2017-08-27 03:46:23,2457992.65721,null
2017-09-19 19:54:00,2458016.32917,18.94
2017-09-19 21:40:33,2458016.40316,18.94
2018-01-28 20:33:15,2458147.35642,null
2018-01-28 22:20:00,2458147.43056,null
2018-03-19 20:18:53,2458197.34645,null
2018-03-19 22:05:04,2458197.42019,null
2018-08-09 03:26:38,2458339.64350,null
2018-08-09 05:13:23,2458339.71763,null
2018-09-11 20:55:32,2458373.37190,null
2018-09-11 22:42:16,2458373.44602,null
2018-09-29 02:59:58,2458390.62498,null
2018-09-29 04:46:42,2458390.69910,null
2019-02-08 05:31:12,2458522.73000,null
2019-03-14 17:01:14,2458557.20919,null
2019-03-14 21:15:00,2458557.38542,null
2019-03-28 09:23:12,2458570.89111,null
2019-03-28 11:09:57,2458570.96524,null
2019-03-28 15:23:43,2458571.14147,null
2019-07-02 17:12:44,2458667.21718,null
2019-07-02 18:58:54,2458667.29090,null
2019-07-02 23:12:38,2458667.46711,null
2019-07-03 00:59:22,2458667.54123,null
2019-07-11 11:18:13,2458675.97098,null
2019-07-11 13:04:58,2458676.04512,null
2019-07-11 17:18:42,2458676.22132,null
2019-08-12 21:38:34,2458708.40178,null
2019-09-18 03:30:17,2458744.64603,null
2019-09-18 05:16:26,2458744.71975,null

