Gaia18dbx
#Date,JD(TCB),averagemag
2014-10-28 20:41:08,2456959.36190,18.82
2014-10-28 22:27:42,2456959.43590,19.03
2014-12-01 21:58:51,2456993.41587,untrusted
2014-12-02 02:12:30,2456993.59201,untrusted
2014-12-21 16:04:47,2457013.16999,untrusted
2015-02-22 14:16:03,2457076.09448,null
2015-02-22 16:02:13,2457076.16821,null
2015-02-22 20:15:59,2457076.34443,null
2015-02-22 22:02:30,2457076.41840,19.79
2015-03-09 02:26:44,2457090.60190,19.62
2015-03-09 04:13:19,2457090.67591,19.38
2015-04-17 14:04:15,2457130.08628,19.51
2015-04-17 15:50:50,2457130.16030,19.52
2015-05-23 07:29:33,2457165.81219,untrusted
2015-05-23 09:16:08,2457165.88620,20.01
2015-06-10 07:35:14,2457183.81613,null
2015-06-10 09:21:25,2457183.88987,null
2015-10-05 18:15:35,2457301.26082,null
2015-10-05 22:29:19,2457301.43703,null
2015-11-08 23:35:17,2457335.48284,19.31
2015-12-19 05:04:28,2457375.71144,19.62
2015-12-19 09:18:07,2457375.88758,19.03
2015-12-19 11:04:41,2457375.96159,19.25
2015-12-19 15:18:20,2457376.13773,19.63
2015-12-30 21:26:22,2457387.39331,19.82
2015-12-30 23:12:56,2457387.46731,untrusted
2015-12-31 03:26:35,2457387.64346,20.16
2015-12-31 05:13:09,2457387.71747,untrusted
2015-12-31 09:26:49,2457387.89362,19.90
2015-12-31 11:13:23,2457387.96763,19.67
2016-03-03 17:12:17,2457451.21686,19.79
2016-03-03 21:25:57,2457451.39302,20.01
2016-03-03 23:12:32,2457451.46704,20.04
2016-03-25 03:34:03,2457472.64865,19.92
2016-03-25 05:20:37,2457472.72265,19.64
2016-04-27 23:00:57,2457506.45899,untrusted
2016-06-05 20:27:40,2457545.35255,null
2016-06-05 22:13:57,2457545.42635,19.32
2016-06-19 08:35:08,2457558.85773,20.10
2016-06-19 10:22:02,2457558.93197,null
2016-09-26 17:30:58,2457658.22984,19.33
2016-09-26 19:17:32,2457658.30384,19.20
2016-10-18 23:24:39,2457680.47545,null
2016-10-19 01:11:23,2457680.54957,null
2016-11-19 04:57:11,2457711.70638,19.40
2017-03-14 19:46:00,2457827.32361,19.75
2017-03-14 23:59:41,2457827.49978,19.70
2017-04-09 11:59:27,2457852.99962,19.62
2017-04-09 13:46:01,2457853.07362,19.46
2017-05-09 05:46:09,2457882.74038,19.15
2017-06-20 16:47:29,2457925.19964,19.45
2017-06-20 18:34:04,2457925.27366,19.29
2017-06-20 22:47:45,2457925.44983,19.41
2017-06-21 00:34:17,2457925.52381,null
2017-06-28 12:40:36,2457933.02819,20.04
2017-06-28 16:54:16,2457933.20435,20.11
2017-06-28 18:40:51,2457933.27837,untrusted
2017-06-28 22:54:31,2457933.45453,19.88
2017-10-07 07:57:29,2458033.83159,untrusted
2017-10-07 09:44:02,2458033.90558,19.28
2017-11-02 07:43:13,2458059.82168,null
2017-11-02 09:29:57,2458059.89580,null
2017-11-30 07:28:31,2458087.81147,19.76
2018-03-26 02:57:22,2458203.62317,untrusted
2018-04-24 13:00:24,2458233.04194,20.17
2018-05-20 06:53:54,2458258.78743,19.60
2018-08-29 04:01:40,2458359.66782,19.38
2018-08-29 05:48:14,2458359.74183,19.44
2018-09-07 05:54:06,2458368.74590,19.51
2018-09-07 10:07:45,2458368.92205,19.56
2018-10-18 03:03:00,2458409.62708,15.58
2018-10-18 04:49:34,2458409.70109,15.64
2018-11-16 22:27:12,2458439.43556,19.72
2018-12-11 02:37:32,2458463.60940,19.55
2018-12-11 04:24:06,2458463.68340,19.61
2019-04-06 10:08:30,2458579.92257,19.28
2019-04-06 14:22:11,2458580.09874,19.51
2019-05-09 01:59:42,2458612.58313,19.34
2019-05-09 03:46:17,2458612.65714,19.47
2019-05-31 01:59:47,2458634.58318,18.84
2019-05-31 03:46:22,2458634.65720,19.72
2019-10-10 17:04:02,2458767.21113,null
2019-10-10 18:50:46,2458767.28525,null
2019-11-11 20:15:23,2458799.34402,19.64
2019-12-02 13:08:41,2458820.04770,19.41
2019-12-02 14:55:14,2458820.12169,19.65
2020-03-05 09:01:00,2458913.87569,null
2020-03-05 13:14:21,2458914.05163,19.54
2020-03-19 15:23:24,2458928.14125,18.91
2020-04-25 23:26:02,2458965.47641,18.92
2020-05-31 23:15:28,2459001.46907,19.26
2020-06-01 01:02:03,2459001.54309,19.43
2020-06-21 07:33:16,2459021.81477,19.53
2020-06-21 11:46:56,2459021.99093,19.66
2020-06-21 13:33:31,2459022.06494,19.35
2020-08-29 09:59:02,2459090.91600,19.57
2020-08-29 11:45:36,2459090.99000,18.84
2020-09-08 04:05:10,2459100.67025,19.25
2020-09-08 05:51:44,2459100.74426,19.26
2020-10-18 15:01:32,2459141.12606,15.66
2020-10-18 16:48:05,2459141.20006,15.51
2020-11-17 20:38:36,2459171.36014,19.57
2020-12-11 14:36:21,2459195.10858,19.32
2020-12-11 16:22:55,2459195.18258,18.95
2021-04-07 02:21:07,2459311.59800,19.75
2021-05-09 21:44:02,2459344.40558,19.97

