Gaia20dfw
#Date,JD(TCB),averagemag
2014-09-10 11:42:43,2456910.98800,untrusted
2014-09-10 13:29:17,2456911.06200,untrusted
2014-09-29 10:27:43,2456929.93591,untrusted
2014-09-29 14:41:22,2456930.11206,untrusted
2014-09-29 16:27:55,2456930.18605,untrusted
2014-10-11 08:48:33,2456941.86705,untrusted
2014-10-11 10:35:07,2456941.94105,untrusted
2014-10-11 16:35:20,2456942.19120,untrusted
2015-01-01 23:18:12,2457024.47097,15.41
2015-01-02 03:31:53,2457024.64714,15.42
2015-01-02 05:18:27,2457024.72115,15.41
2015-01-02 09:32:08,2457024.89731,15.43
2015-01-02 11:18:43,2457024.97133,15.43
2015-01-02 15:32:24,2457025.14750,15.44
2015-01-09 03:38:34,2457031.65178,15.44
2015-01-09 05:25:13,2457031.72584,null
2015-01-09 09:38:49,2457031.90196,15.42
2015-01-09 11:25:24,2457031.97597,untrusted
2015-01-09 17:25:40,2457032.22616,15.40
2015-02-17 03:12:31,2457070.63369,untrusted
2015-02-17 04:59:06,2457070.70771,15.40
2015-03-25 22:20:30,2457107.43090,15.29
2015-03-26 02:34:11,2457107.60707,15.32
2015-03-26 04:20:46,2457107.68109,15.30
2015-04-06 02:42:11,2457118.61263,15.37
2015-04-06 04:28:45,2457118.68663,untrusted
2015-04-06 08:42:26,2457118.86280,15.36
2015-07-12 22:57:25,2457216.45654,15.41
2015-07-13 00:43:58,2457216.53053,15.40
2015-07-29 23:00:57,2457233.45899,15.43
2015-07-30 00:47:31,2457233.53300,15.42
2015-09-02 22:23:51,2457268.43323,15.40
2015-09-03 00:10:25,2457268.50723,15.39
2016-01-08 16:36:18,2457396.19188,15.38
2016-01-08 18:22:53,2457396.26589,15.38
2016-01-08 22:37:04,2457396.44241,null
2016-01-26 22:44:11,2457414.44735,15.38
2016-01-27 00:30:46,2457414.52137,15.38
2016-02-27 18:09:44,2457446.25676,untrusted
2016-07-21 18:00:56,2457591.25065,null
2016-07-21 19:47:06,2457591.32438,null
2016-08-13 07:42:37,2457613.82126,null
2016-09-12 23:32:48,2457644.48111,null
2016-09-13 01:19:32,2457644.55523,null
2017-01-17 01:32:01,2457770.56390,null
2017-01-17 05:45:47,2457770.74013,null
2017-02-10 01:07:15,2457794.54670,null
2017-03-09 06:56:02,2457821.78891,null
2017-08-28 10:00:32,2457993.91704,null
2017-09-23 14:04:02,2458020.08613,null
2017-09-23 15:50:46,2458020.16025,null
2018-01-27 08:18:50,2458145.84641,15.26
2018-01-27 10:05:24,2458145.92042,15.26
2018-03-19 08:03:37,2458196.83584,null
2018-03-19 09:50:13,2458196.90987,15.30
2018-08-12 03:35:47,2458342.64985,15.33
2018-09-12 22:56:37,2458374.45598,untrusted
2018-10-03 15:11:58,2458395.13331,15.29
2018-10-03 16:58:32,2458395.20731,15.30
2019-02-06 21:30:06,2458521.39590,15.31
2019-03-11 03:04:05,2458553.62784,15.28
2019-03-11 04:50:40,2458553.70185,15.31
2019-03-28 22:55:51,2458571.45545,15.30
2019-07-04 23:27:25,2458669.47737,15.31
2019-07-05 01:13:59,2458669.55138,15.32
2019-07-05 05:27:38,2458669.72752,15.32
2019-07-05 07:14:12,2458669.80153,15.32
2019-07-13 23:33:43,2458678.48175,null
2019-07-14 01:19:59,2458678.55554,15.32
2019-07-14 05:33:38,2458678.73169,15.32
2019-08-11 08:03:14,2458706.83558,15.36
2019-08-11 09:49:48,2458706.90958,15.37
2019-09-14 09:33:12,2458740.89806,15.40
2019-10-02 04:00:56,2458758.66731,15.41
2019-10-02 05:47:29,2458758.74131,15.42
2020-01-04 00:31:55,2458852.52216,15.31
2020-01-04 04:45:36,2458852.69833,15.29
2020-01-04 06:32:10,2458852.77234,15.29
2020-01-13 04:57:11,2458861.70638,15.28
2020-01-13 06:43:45,2458861.78038,untrusted
2020-02-19 14:45:27,2458899.11490,15.30
2020-03-27 20:44:45,2458936.36441,15.27
2020-03-27 22:31:19,2458936.43841,15.27
2020-03-28 02:45:00,2458936.61458,15.28
2020-03-28 04:31:35,2458936.68860,15.27
2020-04-07 16:44:45,2458947.19774,15.27
2020-04-07 20:58:26,2458947.37391,15.26
2020-04-07 22:45:01,2458947.44793,15.26
2020-04-08 02:58:42,2458947.62410,15.27
2020-07-02 22:55:24,2459033.45514,15.17
2020-07-03 00:41:57,2459033.52913,15.18
2020-07-03 04:55:37,2459033.70529,15.20
2020-07-03 06:42:10,2459033.77928,15.18
2020-07-03 10:55:50,2459033.95544,15.17
2020-07-03 12:42:23,2459034.02943,15.19
2020-07-12 00:50:44,2459042.53523,15.02
2020-07-12 05:04:23,2459042.71138,15.10
2020-07-12 06:50:57,2459042.78538,15.10
2020-07-12 11:04:36,2459042.96153,15.12
2020-08-12 15:34:28,2459074.14894,15.17
2020-09-13 21:07:52,2459106.38046,15.15
2020-09-13 22:54:25,2459106.45446,15.15
2020-10-03 22:57:05,2459126.45631,15.12
2020-10-04 03:10:44,2459126.63245,15.15
2020-10-04 04:57:18,2459126.70646,15.14
2021-02-07 05:15:29,2459252.71909,15.09
2021-02-07 09:29:11,2459252.89527,15.09
2021-03-11 21:01:48,2459285.37625,15.07
2021-03-11 22:48:23,2459285.45027,15.07
2021-03-29 04:54:07,2459302.70425,14.98
2021-03-29 09:07:48,2459302.88042,15.09
2021-07-05 05:25:06,2459400.72576,15.16
2021-07-05 07:11:40,2459400.79977,15.15
2021-07-15 01:17:40,2459410.55394,15.15
2021-07-15 05:31:19,2459410.73008,untrusted
2021-07-15 07:17:53,2459410.80409,15.13

