Gaia16bui
#Date,JD(TCB),averagemag
2015-02-25 11:50:45,2457078.99358,null
2015-02-25 13:37:30,2457079.06771,null
2015-03-16 17:53:51,2457098.24573,null
2015-03-16 19:40:36,2457098.31986,null
2015-04-17 23:26:03,2457130.47642,null
2015-04-18 01:12:48,2457130.55056,null
2015-09-12 07:04:10,2457277.79456,null
2015-10-04 19:03:36,2457300.29417,null
2015-10-04 20:49:46,2457300.36789,null
2015-11-03 08:35:05,2457329.85770,null
2016-03-06 06:58:31,2457453.79064,null
2016-03-31 02:37:26,2457478.60933,null
2016-04-27 18:33:08,2457506.27301,null
2016-04-27 20:19:52,2457506.34713,null
2016-09-21 14:11:40,2457653.09144,null
2016-10-18 14:02:44,2457680.08523,null
2016-11-12 19:59:15,2457705.33281,18.86
2016-11-12 21:45:50,2457705.40683,18.89
2017-03-16 15:29:56,2457829.14579,null
2017-03-16 17:16:05,2457829.21950,null
2017-04-14 22:54:58,2457858.45484,21.05
2017-05-08 04:47:45,2457881.69983,null
2017-10-02 04:43:48,2458028.69708,null
2017-10-02 06:30:33,2458028.77122,null
2017-11-02 16:25:12,2458060.18417,null
2017-11-02 18:11:57,2458060.25830,null
2017-11-22 16:31:53,2458080.18881,null
2017-11-22 18:18:38,2458080.26294,null
2018-03-27 10:38:12,2458204.94319,null
2018-03-27 12:24:56,2458205.01731,null
2018-04-29 22:03:24,2458238.41903,null
2018-05-18 04:05:07,2458256.67022,null
2018-05-18 05:51:52,2458256.74435,null
2018-08-25 00:26:18,2458355.51826,null
2018-08-25 02:13:03,2458355.59240,null
2018-08-25 06:26:49,2458355.76862,null
2018-09-04 18:34:52,2458366.27421,null
2018-09-04 20:21:37,2458366.34834,null
2018-10-13 01:40:59,2458404.57013,null
2018-11-19 05:29:31,2458441.72883,null
2018-11-19 07:15:41,2458441.80256,null
2018-11-19 11:29:28,2458441.97880,null
2018-11-19 13:16:13,2458442.05293,null
2018-11-30 07:24:45,2458452.80885,null
2018-11-30 11:38:31,2458452.98508,null
2018-11-30 13:25:17,2458453.05922,null
2018-11-30 17:39:03,2458453.23545,null
2019-02-18 06:15:01,2458532.76043,null
2019-02-18 08:01:10,2458532.83414,null
2019-02-18 12:14:54,2458533.01035,null
2019-02-18 14:01:39,2458533.08448,null
2019-02-27 14:07:43,2458542.08869,null
2019-02-27 18:21:27,2458542.26490,null
2019-02-27 20:08:11,2458542.33902,null
2019-02-28 00:21:55,2458542.51522,null
2019-05-15 06:45:24,2458618.78153,null
2019-05-15 10:59:08,2458618.95773,null
2019-05-26 23:04:39,2458630.46156,null
2019-05-27 00:51:23,2458630.53568,null
2019-08-22 19:27:46,2458718.31095,null
2019-08-22 23:41:32,2458718.48718,null
2019-08-23 01:27:42,2458718.56090,null
2019-08-23 05:41:28,2458718.73713,null
2019-08-23 07:28:13,2458718.81126,null
2019-09-02 23:54:40,2458729.49630,null
2019-09-03 01:41:26,2458729.57044,null
2019-10-11 15:28:17,2458768.14464,null
2019-11-17 21:42:06,2458805.40424,null
2019-11-17 23:28:52,2458805.47838,null
2019-11-28 11:42:53,2458815.98811,18.62
2019-11-28 15:56:34,2458816.16428,18.68

