Gaia18dao
#Date,JD(TCB),averagemag
2014-11-13 13:24:30,2456975.05868,null
2015-01-23 07:42:02,2457045.82086,null
2015-01-23 11:55:46,2457045.99706,null
2015-01-23 13:41:56,2457046.07079,null
2015-01-23 17:55:40,2457046.24699,null
2015-01-27 17:59:18,2457050.24951,null
2015-01-27 19:45:27,2457050.32323,null
2015-01-27 23:59:11,2457050.49943,null
2015-01-28 01:45:56,2457050.57356,null
2015-01-28 05:59:40,2457050.74977,null
2015-01-28 07:45:50,2457050.82350,null
2015-05-06 02:51:03,2457148.61878,null
2015-05-06 04:37:14,2457148.69252,null
2015-05-31 02:46:47,2457173.61582,null
2015-06-30 04:22:21,2457203.68219,null
2015-11-01 14:33:42,2457328.10674,null
2015-11-28 04:08:32,2457354.67259,null
2016-05-15 23:45:40,2457524.49005,null
2016-06-14 05:33:33,2457553.73163,null
2016-07-10 11:34:03,2457579.98198,null
2016-07-10 15:47:49,2457580.15821,null
2016-11-11 09:42:42,2457703.90465,null
2016-11-11 11:29:27,2457703.97878,null
2016-12-11 11:03:34,2457733.96081,null
2017-01-02 03:09:58,2457755.63192,null
2017-04-07 08:59:23,2457850.87457,null
2017-04-07 13:13:09,2457851.05080,null
2017-04-16 13:20:12,2457860.05569,null
2017-04-16 15:06:22,2457860.12942,null
2017-05-27 02:17:31,2457900.59550,null
2017-06-30 06:12:14,2457934.75850,null
2017-06-30 07:59:00,2457934.83264,null
2017-07-21 08:07:59,2457955.83888,null
2017-07-21 12:21:45,2457956.01510,null
2017-11-22 06:13:52,2458079.75963,null
2017-11-22 08:00:01,2458079.83334,null
2017-12-25 11:34:16,2458112.98213,null
2018-01-11 17:34:51,2458130.23253,null
2018-01-11 19:21:01,2458130.30626,null
2018-04-16 03:57:28,2458224.66491,null
2018-04-16 08:11:13,2458224.84112,null
2018-05-01 16:04:51,2458240.17003,null
2018-06-07 13:41:26,2458277.07044,null
2018-07-18 07:19:57,2458317.80552,null
2018-07-18 09:06:07,2458317.87925,null
2018-07-18 13:19:53,2458318.05547,null
2018-07-18 15:06:38,2458318.12961,null
2018-07-30 03:16:31,2458329.63647,null
2018-07-30 07:30:17,2458329.81270,null
2018-07-30 09:16:27,2458329.88642,null
2018-07-30 13:30:13,2458330.06265,null
2018-07-30 15:16:58,2458330.13678,null
2018-07-30 19:30:44,2458330.31301,null
2018-10-12 01:44:44,2458403.57273,18.90
2018-10-12 03:31:18,2458403.64674,18.84
2018-10-12 07:44:57,2458403.82288,18.86
2018-10-12 09:31:31,2458403.89689,18.89
2018-10-28 15:39:02,2458420.15211,18.90
2018-10-28 19:52:41,2458420.32825,untrusted
2018-10-28 21:39:14,2458420.40225,18.94
2018-12-03 03:07:56,2458455.63051,19.24
2019-01-08 12:28:26,2458492.01975,null
2019-01-08 14:15:11,2458492.09388,null
2019-01-20 18:33:27,2458504.27323,20.95
2019-01-20 20:20:01,2458504.34723,untrusted
2019-04-26 03:13:50,2458599.63461,null
2019-05-16 09:16:15,2458619.88628,null
2019-05-16 11:03:01,2458619.96043,null
2019-06-18 22:39:28,2458653.44407,null
2019-07-24 04:27:43,2458688.68591,null
2019-07-24 06:14:29,2458688.76006,null

