Gaia20ekz
#Date,JD,averagemag.
2014-08-28 21:50:04,2456898.410,18.84
2014-08-29 02:03:45,2456898.586,18.89
2014-09-29 16:53:38,2456930.204,untrusted
2014-09-29 18:40:12,2456930.278,untrusted
2015-01-03 03:26:32,2457025.643,18.92
2015-01-25 09:18:19,2457047.888,18.94
2015-02-24 07:07:20,2457077.797,null
2015-02-24 08:53:53,2457077.871,19.07
2015-06-26 06:57:45,2457199.790,null
2015-06-26 08:43:51,2457199.864,19.01
2015-07-23 08:43:34,2457226.864,null
2015-08-21 12:45:36,2457256.032,19.00
2016-01-13 08:44:41,2457400.864,null
2016-01-13 10:31:25,2457400.938,null
2016-02-08 14:27:42,2457427.103,18.80
2016-03-06 08:16:21,2457453.845,18.88
2016-03-06 10:02:55,2457453.919,18.84
2016-07-06 21:55:40,2457576.414,18.96
2016-08-06 13:57:16,2457607.081,19.02
2016-08-06 15:43:51,2457607.155,untrusted
2016-08-31 07:53:08,2457631.829,19.02
2016-08-31 09:39:42,2457631.903,18.99
2016-12-06 10:48:29,2457728.950,19.02
2016-12-06 12:35:03,2457729.024,19.00
2016-12-06 16:48:43,2457729.200,19.00
2016-12-06 18:35:17,2457729.275,18.98
2016-12-14 10:53:58,2457736.954,19.02
2016-12-14 12:40:32,2457737.028,19.04
2016-12-14 16:54:11,2457737.204,19.04
2017-01-22 21:50:10,2457776.410,19.13
2017-01-22 23:36:44,2457776.484,19.10
2017-02-22 06:34:19,2457806.774,19.08
2017-03-17 04:48:04,2457829.700,19.07
2017-03-17 06:34:38,2457829.774,19.11
2017-07-18 12:29:51,2457953.021,18.86
2017-08-21 10:18:58,2457986.930,18.88
2017-09-10 18:07:30,2458007.255,untrusted
2017-12-15 02:53:26,2458102.620,19.00
2017-12-15 07:07:05,2458102.797,19.04
2017-12-28 19:11:15,2458116.299,19.03
2017-12-28 20:57:49,2458116.373,19.02
2018-03-10 05:49:19,2458187.743,null
2018-03-10 07:35:29,2458187.816,null
2018-03-27 05:56:43,2458204.748,19.06
2018-03-27 07:43:17,2458204.822,untrusted
2018-03-27 11:56:56,2458204.998,19.07
2018-03-27 13:43:30,2458205.072,19.05
2018-06-05 01:50:45,2458274.577,19.08
2018-06-05 06:04:26,2458274.753,19.10
2018-06-05 07:51:00,2458274.827,19.11
2018-06-05 12:04:41,2458275.003,19.12
2018-06-05 13:51:15,2458275.077,19.10
2018-06-20 06:15:56,2458289.761,19.04
2018-06-20 08:02:30,2458289.835,19.08
2018-07-30 01:41:02,2458329.570,19.04
2018-09-04 23:17:05,2458366.470,19.02
2018-09-05 01:03:39,2458366.544,19.04
2018-09-20 19:10:07,2458382.299,19.05
2018-12-24 14:06:32,2458477.088,19.00
2018-12-24 15:53:05,2458477.162,18.97
2019-01-11 15:52:08,2458495.161,19.01
2019-01-11 20:05:47,2458495.337,19.00
2019-02-13 13:27:29,2458528.061,19.06
2019-02-13 15:14:02,2458528.135,19.02
2019-06-15 09:01:00,2458649.876,19.12
2019-06-15 13:14:41,2458650.052,19.11
2019-07-07 19:22:46,2458672.307,19.05
2019-07-07 21:09:21,2458672.381,19.08
2019-08-18 12:05:49,2458714.004,19.04
2019-12-17 02:21:42,2458834.598,18.93
2019-12-17 04:08:15,2458834.672,18.88
2020-01-07 08:55:46,2458855.872,18.89
2020-01-07 10:42:20,2458855.946,18.88
2020-02-07 16:14:35,2458887.177,18.86
2020-02-07 18:01:09,2458887.251,18.88
2020-03-17 14:07:20,2458926.088,18.89
2020-03-17 18:20:59,2458926.265,18.85
2020-03-27 06:31:54,2458935.772,18.85
2020-03-27 08:18:28,2458935.846,18.90
2020-03-27 12:32:08,2458936.022,18.86
2020-07-04 18:49:47,2459035.285,untrusted
2020-07-28 19:42:48,2459059.321,18.78
2020-07-30 13:39:55,2459061.069,18.81
2020-07-30 17:53:37,2459061.246,18.76
2020-09-05 19:01:18,2459098.293,18.68
2020-09-21 05:21:40,2459113.723,18.51
2020-09-21 07:08:14,2459113.797,18.63

