Gaia18dbf
#Date,JD,averagemag.
2014-11-18 16:37:23,2456980.193,null
2015-05-28 23:23:14,2457171.474,null
2015-05-29 01:09:59,2457171.549,null
2015-06-23 11:15:28,2457196.969,null
2015-06-23 13:02:12,2457197.043,null
2015-11-04 11:50:22,2457330.993,null
2015-11-04 13:36:33,2457331.067,null
2015-12-03 05:35:30,2457359.733,null
2015-12-24 13:22:07,2457381.057,null
2015-12-24 17:35:53,2457381.233,null
2016-05-11 00:46:49,2457519.533,null
2016-05-11 02:33:33,2457519.607,null
2016-06-12 18:19:09,2457552.263,null
2016-07-02 06:22:34,2457571.766,null
2016-07-02 08:08:43,2457571.839,null
2016-11-14 01:01:29,2457706.543,null
2016-12-16 18:33:34,2457739.273,null
2016-12-16 20:20:19,2457739.347,null
2017-01-01 12:40:44,2457755.028,null
2017-01-01 14:27:29,2457755.102,null
2017-04-05 04:00:12,2457848.667,null
2017-04-05 05:46:21,2457848.741,null
2017-04-05 10:00:05,2457848.917,null
2017-04-05 11:46:50,2457848.991,null
2017-04-11 11:51:13,2457854.994,null
2017-04-11 16:04:57,2457855.170,null
2017-04-11 17:51:06,2457855.244,null
2017-04-11 22:04:50,2457855.420,null
2017-06-30 08:41:25,2457934.862,null
2017-06-30 10:28:09,2457934.936,null
2017-06-30 14:41:53,2457935.112,null
2017-07-09 14:47:52,2457944.117,null
2017-07-09 16:34:36,2457944.191,null
2017-07-09 20:48:20,2457944.367,null
2017-07-09 22:34:30,2457944.441,null
2017-10-08 17:41:12,2458035.237,null
2017-10-08 21:54:58,2458035.413,null
2017-10-08 23:41:43,2458035.487,null
2017-10-09 03:55:29,2458035.664,null
2017-10-17 22:02:51,2458044.419,null
2017-10-17 23:49:37,2458044.493,null
2017-11-24 11:21:42,2458081.973,null
2018-01-01 20:56:51,2458120.373,null
2018-01-01 22:43:01,2458120.447,null
2018-01-02 02:56:47,2458120.623,null
2018-01-02 04:43:33,2458120.697,null
2018-01-07 22:48:39,2458126.450,null
2018-01-08 03:02:25,2458126.627,null
2018-01-08 04:49:11,2458126.701,null
2018-01-08 09:02:57,2458126.877,null
2018-01-08 10:49:42,2458126.951,null
2018-04-12 04:58:07,2458220.707,null
2018-04-12 06:44:51,2458220.781,null
2018-04-28 12:48:36,2458237.034,null
2018-04-28 17:02:20,2458237.210,null
2018-10-16 00:45:29,2458407.532,18.78
2018-10-16 04:59:11,2458407.708,18.82
2018-11-03 23:06:11,2458426.463,19.98

