Gaia14ace
#Date,JD(TCB),averagemag
2014-08-16 04:51:54,2456885.70271,19.18
2014-08-16 09:05:35,2456885.87888,19.24
2014-08-16 10:52:00,2456885.95278,19.18
2014-08-16 15:05:55,2456886.12911,null
2014-08-16 16:52:19,2456886.20300,19.14
2014-08-16 21:05:57,2456886.37913,null
2014-08-16 22:52:19,2456886.45300,19.18
2014-08-17 03:06:07,2456886.62925,19.24
2014-08-27 15:16:58,2456897.13678,19.21
2014-08-27 21:17:22,2456897.38706,19.19
2014-08-27 23:04:05,2456897.46117,19.16
2014-08-28 03:17:26,2456897.63711,19.19
2014-08-28 05:04:11,2456897.71124,19.17
2014-08-28 09:17:33,2456897.88719,19.14
2014-08-28 11:04:29,2456897.96145,19.15
2014-08-28 15:17:52,2456898.13741,null
2014-08-28 17:04:48,2456898.21167,null
2014-08-28 21:18:07,2456898.38758,18.02
2014-08-28 23:04:44,2456898.46162,18.64
2014-08-29 03:18:11,2456898.63763,18.97
2014-08-29 05:04:59,2456898.71179,19.05
2014-08-29 09:18:27,2456898.88781,19.10
2014-08-29 11:05:10,2456898.96192,19.14
2014-08-29 15:18:38,2456899.13794,19.13
2014-08-29 17:05:21,2456899.21205,19.13
2014-08-29 21:19:02,2456899.38822,19.12
2014-08-29 23:05:42,2456899.46229,19.15
2014-08-30 03:19:32,2456899.63856,19.18
2014-08-30 05:05:46,2456899.71234,19.16
2014-08-30 09:19:35,2456899.88860,19.18
2014-08-30 11:06:06,2456899.96257,19.20
2014-08-30 15:19:59,2456900.13888,19.15
2014-08-30 17:06:29,2456900.21284,null
2014-08-30 21:19:57,2456900.38885,19.19
2014-08-30 23:06:53,2456900.46311,19.17
2014-08-31 03:20:03,2456900.63892,19.23
2014-08-31 03:20:28,2456900.63921,null
2014-08-31 05:06:47,2456900.71304,19.15
2014-08-31 09:20:43,2456900.88939,19.20
2014-08-31 11:06:53,2456900.96311,null
2014-08-31 15:21:01,2456901.13959,19.26
2014-08-31 17:07:10,2456901.21331,19.19
2014-08-31 21:20:52,2456901.38949,19.17
2014-08-31 23:07:48,2456901.46375,19.15
2014-09-01 03:21:30,2456901.63993,19.18
2014-09-01 05:07:39,2456901.71365,19.16
2014-09-01 09:21:36,2456901.89000,19.25
2014-09-01 11:08:12,2456901.96403,19.18
2014-09-01 15:21:56,2456902.14023,19.21
2014-09-01 17:08:32,2456902.21426,19.16
2014-09-01 21:21:47,2456902.39013,19.22
2014-12-16 18:45:46,2457008.28178,null
2014-12-16 20:32:12,2457008.35569,19.22
2015-01-18 01:59:15,2457040.58281,19.26
2015-01-18 01:59:40,2457040.58310,null
2015-02-05 19:59:54,2457059.33326,19.24
2015-02-05 19:59:56,2457059.33329,null
2015-05-12 16:44:37,2457155.19765,19.33
2015-05-12 20:58:32,2457155.37398,19.36
2015-05-28 03:03:53,2457170.62770,19.25
2015-05-28 04:50:27,2457170.70170,19.30

