Gaia18amr
#Date,JD(TCB),averagemag
2015-01-18 06:54:53,2457040.78811,null
2015-01-18 08:41:37,2457040.86223,null
2015-02-15 18:31:58,2457069.27220,null
2015-07-05 19:38:50,2457209.31863,null
2015-08-27 21:15:44,2457262.38593,null
2016-01-06 14:05:28,2457394.08713,null
2016-01-06 15:52:13,2457394.16126,null
2016-02-01 19:49:31,2457420.32605,null
2016-02-01 21:35:40,2457420.39977,null
2016-02-25 19:38:45,2457444.31858,null
2016-07-15 08:48:41,2457584.86714,null
2016-07-15 10:35:27,2457584.94128,null
2016-08-14 14:35:14,2457615.10780,null
2016-08-14 16:22:00,2457615.18194,null
2016-09-05 22:25:02,2457637.43405,null
2016-09-06 02:38:49,2457637.61029,null
2017-01-15 21:13:52,2457769.38463,null
2017-02-15 11:52:33,2457799.99483,null
2017-03-06 04:06:27,2457818.67115,null
2017-03-06 05:52:37,2457818.74487,null
2017-07-26 07:09:20,2457960.79815,null
2017-08-30 16:58:41,2457996.20742,null
2017-08-30 18:45:27,2457996.28156,null
2017-09-14 18:55:01,2458011.28821,null
2017-09-14 23:08:12,2458011.46403,null
2017-09-15 00:54:57,2458011.53816,null
2018-01-26 05:44:26,2458144.73919,null
2018-03-02 23:01:26,2458180.45933,19.11
2018-03-03 00:48:00,2458180.53333,19.12
2018-03-14 05:07:25,2458191.71348,19.02
2018-03-14 06:53:58,2458191.78748,19.05
2018-06-17 12:56:02,2458287.03891,null
2018-06-17 14:42:13,2458287.11265,null
2018-06-17 18:55:59,2458287.28888,null
2018-06-29 19:04:59,2458299.29513,null
2018-06-29 20:51:44,2458299.36926,null
2018-08-06 08:20:57,2458336.84788,null
2018-08-06 12:34:44,2458337.02412,null
2018-12-19 13:22:10,2458472.05706,null
2018-12-19 15:08:54,2458472.13118,null
2018-12-19 19:22:38,2458472.30738,null
2018-12-19 21:09:23,2458472.38152,null
2019-01-03 07:27:44,2458486.81093,null
2019-01-03 09:14:29,2458486.88506,null
2019-02-05 14:39:27,2458520.11073,null
2019-06-26 01:59:40,2458660.58310,null
2019-06-26 03:45:51,2458660.65684,null
2019-07-16 02:05:26,2458680.58711,null
2019-08-10 04:39:17,2458705.69395,null

