Gaia17czk
#Date,JD(TCB),averagemag
2015-02-21 10:30:28,2457074.93782,null
2015-03-18 20:41:47,2457100.36235,null
2015-04-15 02:31:32,2457127.60523,null
2015-04-15 04:17:42,2457127.67896,null
2015-09-09 22:17:28,2457275.42880,null
2015-09-10 00:04:12,2457275.50292,null
2015-10-07 11:46:51,2457302.99087,null
2015-11-01 23:38:12,2457328.48486,null
2016-03-02 23:41:53,2457450.48742,null
2016-03-03 03:55:05,2457450.66325,null
2016-04-01 11:27:04,2457479.97713,null
2016-04-24 11:25:43,2457502.97619,null
2016-04-24 15:38:54,2457503.15201,null
2016-09-19 19:10:42,2457651.29910,null
2016-10-21 16:57:34,2457683.20664,null
2016-10-21 18:44:18,2457683.28076,null
2016-11-10 23:00:18,2457703.45854,null
2016-11-11 00:47:02,2457703.53266,null
2016-11-11 05:00:11,2457703.70846,null
2016-11-11 06:46:56,2457703.78259,null
2017-03-13 20:15:37,2457826.34418,null
2017-04-16 06:01:33,2457859.75108,null
2017-05-04 12:06:51,2457878.00476,null
2017-05-04 13:53:01,2457878.07848,null
2017-08-11 08:37:23,2457976.85929,null
2017-08-11 10:24:08,2457976.93343,null
2017-08-23 22:29:50,2457989.43738,null
2017-08-24 02:43:34,2457989.61359,null
2017-09-30 19:54:52,2458027.32977,null
2017-11-07 13:21:28,2458065.05657,null
2017-11-07 15:07:38,2458065.13030,null
2017-11-07 19:21:22,2458065.30650,null
2017-11-19 01:28:26,2458076.56141,18.84
2017-11-19 03:15:00,2458076.63542,18.81
2017-11-19 07:28:39,2458076.81156,18.80
2017-11-19 09:15:13,2458076.88557,18.85
2017-11-19 15:15:26,2458077.13572,18.94
2018-02-03 09:41:29,2458152.90381,null
2018-02-03 13:55:15,2458153.08003,null
2018-02-03 15:41:26,2458153.15377,null
2018-02-03 19:55:12,2458153.33000,null
2018-02-15 02:04:43,2458164.58661,null
2018-02-15 03:50:54,2458164.66035,null
2018-03-24 19:40:19,2458202.31966,null
2018-05-01 07:00:19,2458239.79189,null
2018-05-01 08:46:29,2458239.86561,null
2018-05-13 14:54:41,2458252.12131,null
2018-05-13 19:08:27,2458252.29753,null
2018-08-20 15:37:16,2458351.15088,null
2018-08-20 17:24:01,2458351.22501,null
2018-09-08 03:38:21,2458369.65163,null
2018-09-08 05:25:06,2458369.72576,null
2019-02-11 16:49:07,2458526.20078,null
2019-02-11 21:02:18,2458526.37660,null
2019-03-03 21:09:29,2458546.38159,null
2019-03-03 22:55:39,2458546.45531,null
2019-04-04 14:50:41,2458578.11853,null
2019-04-04 16:36:52,2458578.19227,null
2019-08-16 14:40:56,2458712.11176,null
2019-08-16 16:27:41,2458712.18589,null
2019-09-06 23:00:52,2458733.45894,null
2019-09-07 03:14:36,2458733.63514,null

