Gaia17byl
#Date,JD(TCB),averagemag
2015-02-21 09:21:14,2457074.88975,null
2015-03-27 14:53:05,2457109.12020,null
2015-03-27 16:39:51,2457109.19434,null
2015-04-10 21:01:43,2457123.37619,null
2015-04-10 22:48:28,2457123.45032,null
2015-07-16 16:45:18,2457220.19813,null
2015-07-16 18:32:02,2457220.27225,null
2015-07-16 22:45:11,2457220.44804,null
2015-07-17 00:31:56,2457220.52218,null
2015-07-17 04:45:40,2457220.69838,null
2015-07-17 06:32:24,2457220.77250,null
2015-07-22 06:36:03,2457225.77503,null
2015-07-22 10:49:47,2457225.95124,null
2015-07-22 12:36:31,2457226.02536,null
2015-07-22 16:49:40,2457226.20116,null
2015-07-22 18:36:24,2457226.27528,null
2015-09-01 11:52:58,2457266.99512,null
2015-10-10 17:13:04,2457306.21741,null
2015-10-10 21:26:48,2457306.39361,null
2015-10-10 23:12:58,2457306.46734,null
2015-10-11 03:26:42,2457306.64354,null
2015-10-17 15:31:25,2457313.14682,null
2015-10-17 17:18:09,2457313.22094,null
2015-10-17 21:31:53,2457313.39714,null
2015-10-17 23:18:03,2457313.47087,null
2015-10-18 03:31:47,2457313.64707,null
2015-10-18 05:18:31,2457313.72119,null
2016-01-15 22:52:54,2457403.45340,null
2016-01-16 00:39:40,2457403.52755,null
2016-01-16 04:53:26,2457403.70377,null
2016-01-27 05:01:31,2457414.70939,null
2016-01-27 06:48:17,2457414.78353,null
2016-03-02 22:32:59,2457450.43957,null
2016-07-22 05:43:57,2457591.73885,null
2016-07-22 07:30:42,2457591.81299,null
2016-08-08 11:48:21,2457608.99191,null
2016-08-08 13:35:06,2457609.06604,null
2016-09-11 11:15:20,2457642.96898,null
2016-09-11 13:02:05,2457643.04311,null
2017-01-22 17:57:19,2457776.24814,null
2017-01-22 19:44:04,2457776.32227,null
2017-02-11 01:24:59,2457795.55902,null
2017-02-11 03:11:45,2457795.63316,null
2017-03-13 08:52:37,2457825.86987,null
2017-07-31 20:11:23,2457966.34124,19.02
2017-07-31 21:57:56,2457966.41523,19.00
2017-08-24 02:05:59,2457989.58749,null
2017-08-24 03:52:43,2457989.66161,null
2017-09-22 01:46:24,2458018.57389,null
2017-09-22 03:33:08,2458018.64801,null
2018-02-01 02:28:26,2458150.60308,null
2018-02-01 04:15:12,2458150.67722,null
2018-03-23 16:03:10,2458201.16887,null
2018-08-11 03:18:19,2458341.63772,null
2018-08-11 05:05:03,2458341.71184,null
2018-09-08 09:00:50,2458369.87558,null
2018-09-08 10:47:34,2458369.94970,null
2018-10-02 08:54:15,2458393.87101,null
2018-10-02 10:40:25,2458393.94473,null
2019-02-11 05:25:12,2458525.72583,null
2019-03-12 15:22:22,2458555.14053,null
2019-04-02 11:11:59,2458575.96666,null
2019-04-02 15:25:10,2458576.14248,null
2019-08-16 02:03:56,2458711.58606,null
2019-09-15 21:18:34,2458742.38789,null
2019-09-15 23:04:43,2458742.46161,null

