Gaia20bdh
#Date,JD(TCB),averagemag
2014-11-03 00:18:47,2456964.51304,null
2015-01-04 23:47:05,2457027.49103,null
2015-03-12 00:45:28,2457093.53157,null
2015-04-08 22:43:31,2457121.44689,null
2015-04-09 00:30:16,2457121.52102,null
2015-05-16 09:53:31,2457158.91216,null
2015-06-07 17:36:29,2457181.23367,null
2015-07-17 20:48:32,2457221.36704,null
2015-08-09 14:45:32,2457244.11495,null
2015-09-15 21:46:14,2457281.40711,null
2015-10-14 13:45:52,2457310.07352,null
2015-10-14 15:32:38,2457310.14766,null
2015-11-15 09:12:06,2457341.88340,null
2015-11-15 13:25:52,2457342.05963,null
2015-12-20 01:03:17,2457376.54395,null
2015-12-20 02:50:02,2457376.61808,null
2016-01-18 06:52:11,2457405.78624,null
2016-01-18 08:38:56,2457405.86037,null
2016-02-20 12:29:06,2457439.02021,null
2016-02-20 14:15:50,2457439.09433,null
2016-03-24 11:59:49,2457471.99987,null
2016-03-24 13:46:34,2457472.07400,null
2016-04-20 01:33:43,2457498.56508,null
2016-05-28 06:39:34,2457536.77748,null
2016-05-28 10:53:19,2457536.95369,null
2016-06-19 04:50:29,2457558.70172,null
2016-06-19 06:37:14,2457558.77586,null
2016-07-29 03:50:16,2457598.65991,null
2016-07-29 05:37:01,2457598.73404,null
2016-09-27 03:05:01,2457658.62848,null
2016-09-27 04:51:46,2457658.70262,null
2016-10-27 02:49:15,2457688.61753,null
2016-10-27 04:36:00,2457688.69167,null
2016-11-27 02:32:51,2457719.60615,null
2016-11-27 04:19:36,2457719.68028,null
2017-01-01 02:09:48,2457754.59014,null
2017-01-01 03:56:33,2457754.66427,null
2017-01-30 19:57:04,2457784.33130,null
2017-03-03 20:57:38,2457816.37336,null
2017-04-06 20:22:41,2457850.34909,null
2017-04-06 22:09:26,2457850.42322,null
2017-06-10 07:15:34,2457914.80248,null
2017-07-01 19:13:34,2457936.30109,null
2017-07-01 20:59:44,2457936.37481,null
2017-08-10 12:15:31,2457976.01078,null
2017-09-04 06:09:18,2458000.75646,null
2017-10-09 11:33:58,2458035.98192,null
2017-11-09 17:15:59,2458067.21943,null
2017-11-09 19:02:09,2458067.29316,null
2017-12-09 23:02:29,2458097.46006,null
2017-12-10 00:49:14,2458097.53419,null
2018-01-14 04:39:01,2458132.69376,null
2018-02-13 06:09:46,2458162.75678,null
2018-02-13 10:23:31,2458162.93300,null
2018-03-15 23:49:34,2458193.49275,null
2018-04-20 05:09:30,2458228.71493,null
2018-05-14 09:15:36,2458252.88583,null
2018-05-14 11:01:46,2458252.95956,null
2018-06-22 22:01:54,2458292.41799,null
2018-07-14 16:00:02,2458314.16669,null
2018-08-22 19:19:10,2458353.30498,null
2018-09-17 14:57:11,2458379.12304,null
2018-10-21 18:40:38,2458413.27822,null
2018-10-21 20:26:48,2458413.35194,null
2018-11-23 08:07:06,2458445.83826,null
2018-12-23 00:09:05,2458475.50631,null
2018-12-23 01:55:50,2458475.58044,null
2019-01-26 19:31:38,2458510.31363,null
2019-02-26 19:12:08,2458541.30009,null
2019-03-28 05:07:53,2458570.71381,null
2019-05-03 10:22:17,2458606.93214,null
2019-05-03 12:09:02,2458607.00627,null
2019-05-26 16:17:24,2458630.17875,null
2019-05-26 18:03:34,2458630.25248,null
2019-07-05 15:15:57,2458670.13608,null
2019-07-30 23:27:55,2458695.47772,null
2019-09-01 12:47:57,2458728.03330,null
2019-09-01 14:34:07,2458728.10703,null
2019-10-01 09:48:17,2458757.90853,null
2019-10-01 14:02:02,2458758.08475,null
2019-11-06 09:55:47,2458793.91374,null
2019-11-28 12:30:38,2458816.02127,null
2020-01-05 00:58:39,2458853.54073,null
2020-01-05 02:45:24,2458853.61486,null
2020-01-25 19:41:25,2458874.32043,19.55
2020-03-02 03:42:25,2458910.65446,18.94
2020-03-02 05:28:59,2458910.72846,18.99
2020-03-28 22:45:20,2458937.44815,null
2020-05-01 06:12:06,2458970.75840,null
2020-05-01 07:58:41,2458970.83242,untrusted

