#               DATEOBS        MJDim filter      m    dm    gr gr_err    ri ri_err    iz iz_err cflg photcodehex    flux_c  dflux_c ZPTMAG_c     flux   dflux ZPTMAG       type                                                                            cmpfile
 2010-04-10T14:38:56.13 55296.610372      g      -     -     -      -     -      -     -      -    -      0x1613  50876.43 19755.68  33.1687 21037.62 8166.74 32.210 0x00000011  ut100410i_templi/83/md08s078.g.100410i.81682_83_g.100510i.106890_83.diff.cut.dcmp
 2010-04-16T14:04:37.20 55302.586542      g      -     -     -      -     -      -     -      -    -      0x1613   7383.49  2625.65  33.1687  8245.59 2931.23 33.289 0x00000011  ut100416i_templi/83/md08s078.g.100416i.93537_83_g.100129i.127042_83.diff.cut.dcmp
 2010-04-16T14:04:37.20 55302.586542      g      -     -     -      -     -      -     -      -    -      0x1613   6778.08  3196.87  33.1687  3140.99 1481.16 32.334 0x00000011  ut100416i_templi/83/md08s078.g.100416i.93537_83_g.100510i.106890_83.diff.cut.dcmp
 2010-04-16T14:04:37.20 55302.586542      g 22.995 0.303 0.628  0.440     -      -     -      -    1      0x1613  11733.00  3273.13  33.1687  5285.05 1473.55 32.303 0x00000011  ut100416i_templi/83/md08s078.g.100416i.93537_83_g.100513i.108056_83.diff.cut.dcmp
 2010-04-19T13:58:51.25 55305.582538      g 23.454 0.321 0.944  0.370     -      -     -      -    1      0x1613   7689.80  2275.28  33.1687  7717.47 2282.35 33.173 0x00000011  ut100419i_templi/83/md08s078.g.100419i.94959_83_g.100129i.127042_83.diff.cut.dcmp
 2010-04-19T13:58:51.25 55305.582538      g      -     -     -      -     -      -     -      -    -      0x1613   7576.12  2931.23  33.1687  3152.15 1219.23 32.217 0x00000011  ut100419i_templi/83/md08s078.g.100419i.94959_83_g.100510i.106890_83.diff.cut.dcmp
 2010-04-19T13:58:51.25 55305.582538      g 22.878 0.256 0.369  0.316     -      -     -      -    1      0x1613  13066.29  3077.85  33.1687  5278.52 1242.43 32.185 0x00000011  ut100419i_templi/83/md08s078.g.100419i.94959_83_g.100513i.108056_83.diff.cut.dcmp
 2010-05-10T13:07:33.24 55326.546913      g      -     -     -      -     -      -     -      -    -      0x1613    645.87  1353.88  33.1687   645.87 1353.87 33.169 0x00000011 ut100510i_templi/83/md08s078.g.100510i.106890_83_g.100129i.127042_83.diff.cut.dcmp
 2010-05-10T13:07:33.24 55326.546913      g      -     -     -      -     -      -     -      -    -      0x1613   4693.39  2160.80  33.1687  1823.42  839.32 32.142 0x00000011 ut100510i_templi/83/md08s078.g.100510i.106890_83_g.100513i.108056_83.diff.cut.dcmp
 2010-05-13T12:44:34.37 55329.530953      g      -     -     -      -     -      -     -      -    -      0x1613  -4598.70  2169.61  33.1687 -1837.87  866.92 32.173 0x00000011 ut100513i_templi/83/md08s078.g.100513i.108056_83_g.100510i.106890_83.diff.cut.dcmp
 2010-05-16T10:13:01.98 55332.425717      g      -     -     -      -     -      -     -      -    -      0x1613    674.09  1535.04  33.1687   674.09 1535.03 33.169 0x00000011 ut100516i_templi/83/md08s078.g.100516i.109010_83_g.100129i.127042_83.diff.cut.dcmp
 2010-05-16T10:13:01.98 55332.425717      g      -     -     -      -     -      -     -      -    -      0x1613   -297.13  2274.46  33.1687  -117.14  896.68 32.158 0x00000011 ut100516i_templi/83/md08s078.g.100516i.109010_83_g.100510i.106890_83.diff.cut.dcmp
 2010-05-16T10:13:01.98 55332.425717      g      -     -     -      -     -      -     -      -    -      0x1613   4195.54  2365.19  33.1687  1630.00  918.77 32.142 0x00000011 ut100516i_templi/83/md08s078.g.100516i.109010_83_g.100513i.108056_83.diff.cut.dcmp
 2010-05-19T10:22:18.03 55335.432153      g      -     -     -      -     -      -     -      -    -      0x1613   4923.76  2352.84  33.1687  4608.68 2201.87 33.097 0x00000011 ut100519i_templi/83/md08s078.g.100519i.111783_83_g.100129i.127042_83.diff.cut.dcmp
 2010-05-19T10:22:18.03 55335.432153      g      -     -     -      -     -      -     -      -    -      0x1613   4318.08  2889.82  33.1687  1677.61 1122.61 32.142 0x00000011 ut100519i_templi/83/md08s078.g.100519i.111783_83_g.100510i.106890_83.diff.cut.dcmp
 2010-05-19T10:22:18.03 55335.432153      g 23.231 0.331     -      -     -      -     -      -    -      0x1613   9438.49  2882.52  33.1687  3580.16 1092.88 32.116 0x00000011 ut100519i_templi/83/md08s078.g.100519i.111783_83_g.100513i.108056_83.diff.cut.dcmp
 2010-05-22T10:19:49.56 55338.430435      g      -     -     -      -     -      -     -      -    -      0x1613  -2294.00  5920.60  33.1687 -2167.87 5595.04 33.107 0x00000011 ut100522i_templi/83/md08s078.g.100522i.112655_83_g.100129i.127042_83.diff.cut.dcmp
 2010-05-22T10:19:49.56 55338.430435      g      -     -     -      -     -      -     -      -    -      0x1613  -2096.38  6528.92  33.1687  -820.56 2555.52 32.150 0x00000011 ut100522i_templi/83/md08s078.g.100522i.112655_83_g.100510i.106890_83.diff.cut.dcmp
 2010-05-22T10:19:49.56 55338.430435      g      -     -     -      -     -      -     -      -    -      0x1613   2660.84  6534.23  33.1687  1014.89 2492.25 32.122 0x00000011 ut100522i_templi/83/md08s078.g.100522i.112655_83_g.100513i.108056_83.diff.cut.dcmp
 2010-05-31T10:42:04.83 55347.445889      g      -     -     -      -     -      -     -      -    -      0x1613   2282.64  3760.71  33.1687   953.14 1570.30 32.221 0x00000011 ut100531i_templi/83/md08s078.g.100531i.114011_83_g.100510i.106890_83.diff.cut.dcmp
 2010-05-31T10:42:04.83 55347.445889      g      -     -     -      -     -      -     -      -    -      0x1613   7062.43  4037.15  33.1687  2743.81 1568.26 32.142 0x00000011 ut100531i_templi/83/md08s078.g.100531i.114011_83_g.100513i.108056_83.diff.cut.dcmp
 2010-06-03T12:18:35.16 55350.512907      g      -     -     -      -     -      -     -      -    -      0x1613   1333.60  2308.18  33.1687  1333.60 2308.15 33.169 0x00000011 ut100603i_templi/83/md08s078.g.100603i.114960_83_g.100129i.127042_83.diff.cut.dcmp
 2010-06-03T12:18:35.16 55350.512907      g      -     -     -      -     -      -     -      -    -      0x1613   2032.99  3112.95  33.1687   780.29 1194.77 32.129 0x00000011 ut100603i_templi/83/md08s078.g.100603i.114960_83_g.100510i.106890_83.diff.cut.dcmp
 2010-06-03T12:18:35.16 55350.512907      g      -     -     -      -     -      -     -      -    -      0x1613   5798.67  2903.52  33.1687  2252.83 1127.85 32.142 0x00000011 ut100603i_templi/83/md08s078.g.100603i.114960_83_g.100513i.108056_83.diff.cut.dcmp
 2010-06-06T10:09:43.68 55353.423422      g      -     -     -      -     -      -     -      -    -      0x1613   1131.92  1307.90  33.1687  1131.92 1307.86 33.169 0x00000011 ut100606i_templi/83/md08s078.g.100606i.116282_83_g.100129i.127042_83.diff.cut.dcmp
 2010-06-06T10:09:43.68 55353.423422      g      -     -     -      -     -      -     -      -    -      0x1613    780.65  1957.18  33.1687   309.10  774.94 32.163 0x00000011 ut100606i_templi/83/md08s078.g.100606i.116282_83_g.100510i.106890_83.diff.cut.dcmp
 2010-06-06T10:09:43.68 55353.423422      g      -     -     -      -     -      -     -      -    -      0x1613   4859.69  2226.38  33.1687  1888.03  864.79 32.142 0x00000011 ut100606i_templi/83/md08s078.g.100606i.116282_83_g.100513i.108056_83.diff.cut.dcmp
 2010-06-15T08:49:16.29 55362.367550      g      -     -     -      -     -      -     -      -    -      0x1613  -3423.26  2466.09  33.1687 -3385.63 2438.78 33.157 0x00000011 ut100615i_templi/83/md08s078.g.100615i.118647_83_g.100129i.127042_83.diff.cut.dcmp
 2010-06-15T08:49:16.29 55362.367550      g      -     -     -      -     -      -     -      -    -      0x1613  -3436.44  3057.11  33.1687 -1412.89 1256.86 32.204 0x00000011 ut100615i_templi/83/md08s078.g.100615i.118647_83_g.100510i.106890_83.diff.cut.dcmp
 2010-06-15T08:49:16.29 55362.367550      g      -     -     -      -     -      -     -      -    -      0x1613   1163.81  3170.89  33.1687   466.79 1271.80 32.177 0x00000011 ut100615i_templi/83/md08s078.g.100615i.118647_83_g.100513i.108056_83.diff.cut.dcmp
 2010-06-18T07:58:31.50 55365.332309      g      -     -     -      -     -      -     -      -    -      0x1613   -441.32  2154.08  33.1687  -441.32 2154.08 33.169 0x00000011 ut100618i_templi/83/md08s078.g.100618i.119265_83_g.100129i.127042_83.diff.cut.dcmp
 2010-06-18T07:58:31.50 55365.332309      g      -     -     -      -     -      -     -      -    -      0x1613  -1022.19  2511.42  33.1687  -392.33  963.91 32.129 0x00000011 ut100618i_templi/83/md08s078.g.100618i.119265_83_g.100510i.106890_83.diff.cut.dcmp
 2010-06-18T07:58:31.50 55365.332309      g      -     -     -      -     -      -     -      -    -      0x1613   4605.83  2535.21  33.1687  1789.40  984.81 32.142 0x00000011 ut100618i_templi/83/md08s078.g.100618i.119265_83_g.100513i.108056_83.diff.cut.dcmp
 2010-06-21T09:31:07.51 55368.396615      g      -     -     -      -     -      -     -      -    -      0x1613   -300.03  2497.27  33.1687  -300.03 2497.27 33.169 0x00000011 ut100621i_templi/83/md08s078.g.100621i.120274_83_g.100129i.127042_83.diff.cut.dcmp
 2010-06-21T09:31:07.51 55368.396615      g      -     -     -      -     -      -     -      -    -      0x1613  -2617.11  2867.28  33.1687 -1004.48 1100.46 32.129 0x00000011 ut100621i_templi/83/md08s078.g.100621i.120274_83_g.100510i.106890_83.diff.cut.dcmp
 2010-06-21T09:31:07.51 55368.396615      g      -     -     -      -     -      -     -      -    -      0x1613   5102.13  3016.88  33.1687  1982.22 1171.94 32.142 0x00000011 ut100621i_templi/83/md08s078.g.100621i.120274_83_g.100513i.108056_83.diff.cut.dcmp
