"ID","Name","RA","DEC","Type","Redshift","Host Name","Host Redshift","Source Group","Associated Group/s","Disc. Internal Name","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender"
"14853","AT 2016gcn","20:38:35.68","+01:08:58.08","","","","","Pan-STARRS1","ATS, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, SkyMapper, XOSS, XTSS","PS16ehl","1","1","","20.7","r-Sloan","2016-09-07 06:04:19","PS1_Bot1"
"14854","AT 2016gco","20:02:58.11","+03:03:20.54","","","","","Pan-STARRS1","ATS, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, SkyMapper, XOSS, XTSS","PS16ehk","1","1","","19.67","r-Sloan","2016-09-07 05:51:21","PS1_Bot1"
"14855","AT 2016gcp","21:59:59.76","-25:39:12.98","","","","","Pan-STARRS1","ATS, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, SkyMapper, XOSS, XTSS","PS16ehn","1","1","","21.01","w-PS1","2016-09-07 09:05:45","PS1_Bot1"
"14856","AT 2016gcq","20:49:26.96","+05:30:25.33","","","","","Pan-STARRS1","ATS, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, SkyMapper, XOSS, XTSS","PS16ehm","1","1","","20.12","r-Sloan","2016-09-07 06:24:28","PS1_Bot1"
"14857","SN 2016gcr","22:32:17.21","-23:42:09.04","SN Ia","0.065","","","Pan-STARRS1","ATS, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, SkyMapper, XOSS, XTSS","PS16eho","1","1","","18.83","w-PS1","2016-09-07 09:14:24","PS1_Bot1"
"14860","AT 2016gcu","05:52:51.95","+69:46:35.69","","","","","GaiaAlerts","ATS, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, SkyMapper, XOSS, XTSS","Gaia16bfo","1","1","","18.13","G-Gaia","2016-09-05 07:20:38","Gaia_Bot1"
"14861","AT 2016gcv","12:02:13.99","+59:20:34.87","","","","","GaiaAlerts","ATS, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, SkyMapper, XOSS, XTSS","Gaia16bfp","1","1","","17.92","G-Gaia","2016-09-06 06:41:45","Gaia_Bot1"
"14862","AT 2016gcw","02:06:07.07","-20:28:52.93","","","","","GaiaAlerts","ATS, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, SkyMapper, XOSS, XTSS","Gaia16bfq","1","1","","18.06","G-Gaia","2016-08-24 04:43:40","Gaia_Bot1"
"14863","AT 2016gcx","20:40:57.15","-68:35:41.24","","","","","GaiaAlerts","ATS, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, SkyMapper, XOSS, XTSS","Gaia16bfr","1","1","","18.84","G-Gaia","2016-09-06 22:13:26","Gaia_Bot1"
"14864","AT 2016gcy","23:38:37.44","-61:12:31.36","","","","","GaiaAlerts","ATS, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, SkyMapper, XOSS, XTSS","Gaia16bfs","1","1","","18.68","G-Gaia","2016-09-06 15:54:43","Gaia_Bot1"
"14865","AT 2016gcz","03:32:33.00","+31:02:21.62","","","","","GaiaAlerts","ATS, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, SkyMapper, XOSS, XTSS","Gaia16bft","1","1","","17.88","G-Gaia","2016-09-06 20:09:36","Gaia_Bot1"
"14866","SN 2016gda","01:39:26.41","-34:00:43.20","SN Ia","0.029","","","GaiaAlerts","ATS, DAO_OTS, DES, GaiaAlerts, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, SkyMapper, XOSS, XTSS","Gaia16bfu","1","1","","18.81","G-Gaia","2016-09-07 23:11:02","Gaia_Bot1"
"14867","AT 2016gdb","23:00:36.39","-26:51:59.52","","","","","Pan-STARRS1","ATS, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, SkyMapper, XOSS, XTSS","PS16ehz","1","1","","21.74","w-PS1","2016-09-07 10:13:26","PS1_Bot1"
"14868","AT 2016gdc","17:08:33.23","+37:46:36.52","","","","","Pan-STARRS1","ATS, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, SkyMapper, XOSS, XTSS","PS16ehq","1","1","","19.75","r-Sloan","2016-09-08 05:51:21","PS1_Bot1"
"14869","AT 2016gdd","03:30:51.98","-30:02:37.02","","","","","Pan-STARRS1","ATS, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, SkyMapper, XOSS, XTSS","PS16ehp","1","1","","19.65","z-Sloan","2016-09-07 15:00:00","PS1_Bot1"
"14870","AT 2016gde","17:23:00.00","+41:01:04.24","","","","","Pan-STARRS1","ATS, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, SkyMapper, XOSS, XTSS","PS16ehs","1","1","","20.69","r-Sloan","2016-09-08 05:57:07","PS1_Bot1"
"14871","AT 2016gdf","17:15:02.67","+38:53:38.68","","","","","Pan-STARRS1","ATS, DAO_OTS, DES, iPTF, KEGS, NUTS, OGLE, OOICLE, Padova-Asiago, Pan-STARRS1, SkyMapper, XOSS, XTSS","PS16ehr","1","1","","19.88","r-Sloan","2016-09-08 05:54:14","PS1_Bot1"
